sp027-000001_001	pAyasa prahasanam
sp027-000002_001	patiH gfham praviSan nandini BoH nandini
sp027-000003_001	kim BoH
sp027-000004_001	kimarTam tAvaduccEH Ahvayati BavAn
sp027-000005_001	patiH nandini paSyatu kim AnItavAn asmi iti
sp027-000006_001	kim AnItavAn BavAn
sp027-000007_001	patiH BavatI eva paSyatu
sp027-000008_001	syUtam patnyE dadAti
sp027-000009_001	syUtam udGAwya
sp027-000010_001	BoH guqaH mudgaDAnyam ca
sp027-000011_001	aho elA api asti
sp027-000012_001	etatsarvam kaTam AnItavAn BavAn
sp027-000013_001	patiH hA hanta
sp027-000014_001	mahAn pariSramaH kftaH mayA
sp027-000015_001	etatsarvam kimarTam AnItavAn BavAn
sp027-000016_001	patiH jAnatI api pfcCati Kalu BavatI
sp027-000017_001	ataH pAyasanirmARArTam etatsarvam AnItavAnasmi
sp027-000018_001	patnI
sp027-000019_001	tarhi aham pAkasya AramBam karavARi
sp027-000020_001	patiH karotu SIGram karotu
sp027-000021_001	pAyasam sajjam
sp027-000022_001	AgacCatu BoH
sp027-000023_001	patiH pAyasam sajjam
sp027-000024_001	atrEva Anayatu tAvat
sp027-000025_001	samyak upaviSya pibAma
sp027-000026_001	patiH kawam prasArayati
sp027-000027_001	cazakadvayam Anayati
sp027-000028_001	pAyasam cazakadvayaparimitameva asti
sp027-000029_001	patiH Bavatu nAma
sp027-000030_001	ekEkena ekacazakaparimitam pAyasam tu prApyate eva
sp027-000031_001	ezaH eva mahate santozAya
sp027-000032_001	pAyasam pibAma tAvat
sp027-000033_001	pAyasam suKozRamasti
sp027-000034_001	patiH aho elAyAH suganDaH
sp027-000035_001	dvAre SabdaH
sp027-000036_001	aye koऽpi AgatavAn iti manye
sp027-000037_001	patiH koऽyam varAkaH
sp027-000038_001	saH antaH AgacCati cet
sp027-000039_001	patiH ananyagatikatayA tasmE api pAyasam dAtavyam Bavizyati
sp027-000040_001	kim karavAma idAnIm
sp027-000041_001	atiTiH praviSya BoH mahASaya
sp027-000042_001	aye saH antaH AgatavAn eva
sp027-000043_001	pAyasam pAyasam
sp027-000044_001	pAyasapAnasamaye upasTitaH
sp027-000045_001	patiH svagatam
sp027-000046_001	etasya nivAraRArTam kimapi karaRIyam idAnIm
sp027-000047_001	hA~ evam karomi
sp027-000048_001	kim etat kftam BavatyA
sp027-000049_001	qAkini
sp027-000050_001	rAkzasi mAm eva nindati vA BavatI
sp027-000051_001	kiyat DArzwyam BavatyAH
sp027-000052_001	yadi BavatI itoऽpi ekam vacanam vadet tarhi
sp027-000053_001	patnI
sp027-000054_001	kim mAm tAqayati BavAn
sp027-000055_001	patiH punarapi mA nindati vA BavatI
sp027-000056_001	paSyatu idAnIm
sp027-000057_001	tAqayati
sp027-000058_001	BoH deva Bagavan
sp027-000059_001	ezaH rAkzasa mAm adya mArayati
sp027-000060_001	koऽpi mAm rakzatu
sp027-000061_001	atiTiH hA hanta
sp027-000062_001	asamaye asTAne Agatam mayA
sp027-000063_001	tataH palAyanam karoti
sp027-000064_001	patiH atiTeH nirgamanam dfzwvA dIrGam niSSvasya hanta
sp027-000065_001	kaTamapi varAkaH nivAritaH mayA
sp027-000066_001	pAyasam rakzitam jAtam
sp027-000067_001	kaTamasti mama upAyaH samayasPUrtiH ca
sp027-000068_001	patnIm uddiSya paSyatu BoH mama budDicAturyam
sp027-000069_001	aham tu BavatIm tAqitavAn iva aBinayam kftavAn
sp027-000070_001	BavAn tAqitavAn iva aBinayam yadA kftavAn tadA ahamapi ruditavatI iva aBinayam kftavatI
sp027-000071_001	mama budDimattA kim nyUnA
sp027-000072_001	hastam unnIya tAqanam aBinayati
sp027-000073_001	atiTiH praviSya tayo samIpam Agatya BavantO yaTA tAqanasya rodanasya ca aBinayam kftavantO taTA ahamapi DAvanasya aBinaya kftavAn
sp027-000074_001	kintu aham na gatavAn
sp027-000075_001	aham atrEvasmi
sp027-000076_001	dampatI hA hanta hA durviDe
sp027-000077_001	uBO api Sirasihastam sTApayataH
sp027-000078_002	ekam nagaram
sp027-000079_002	tatra kaScana bAlakaH
sp027-000080_002	yogye samaye tasya vidyAByAsaH ArabDaH
sp027-000081_002	gurukule saH sarvezu api vizayezu agragaRyaH AsIt
sp027-000082_002	ekadA krIqArTam gataH saH utsAhena gfham AgatavAn
sp027-000083_002	mAtuH samIpam gatvA uktavAn ca
sp027-000084_002	amba adya aham mama mitram mallayudDe jitavAn iti
sp027-000085_002	hasanmuKasya putrasya muKam nirnimezam dfzwavatI mAtA
sp027-000086_002	tasyAH muKAt ekamapi vacanam na nirgatam
sp027-000087_002	kzaRakAlAnantaram tasyAH netrAByAm aSrubindavaH patitAH
sp027-000088_002	mAtuH aSrupUrRam muKam dfzwvA saH taruRaH AScaryacakitaH KinnaH ca aBavat
sp027-000089_002	kenApi kAraRena mAtA adya KinnA asti
sp027-000090_002	ataH vArtAlApArTam ezaH na samayaH
sp027-000091_002	iti cintayitvA kimapi anuktvA tataH nirgatavAn saH
sp027-000092_002	rAtrO BojanasamayaH AgataH
sp027-000093_002	gfhe mOnam virAjate sma
sp027-000094_002	mAtA mOnam parivezayantI AsIt
sp027-000095_002	mOnam aSaknuvan putraH
sp027-000096_002	amba adya prAtaHkAle BavatI mAm dfzwvA kimarTam rodanam kftavatI
sp027-000097_002	mayA kimapi anucitam kAryam kftam vA
sp027-000098_002	yena BavatyAH KedaH jAtaH syAt iti
sp027-000099_002	tadA mAtA uktavatI
sp027-000100_002	vatsa BavatA anucitam kimapi na kftam
sp027-000101_002	prAtaH BavAn yadA hasati sma tadA aham BavataH dantapaNktim pariSIlitavatI
sp027-000102_002	tatra rAjalakzaRam dfzwavatI ca
sp027-000103_002	tadA mama manasi ezAH cintA AgatA
sp027-000104_002	yat yadi BavAn rAjA Bavet tarhi mAm vismaret kadAcit iti
sp027-000105_002	ataH mama manasi duHKam udgatam
sp027-000106_002	tatkAraRataH netrAByAm aSrubindavaH AgatAH
sp027-000107_002	iti
sp027-000108_002	etat SrutvA bAlakaH vegena Bojanam samApya gfhAt bahiH gatavAn
sp027-000109_002	ekena SilAKaRqena sarvAnapi dantAn BaYjitavAn
sp027-000110_002	taTApi saH Atmabalena sarvam soQavAn
sp027-000111_002	raktapUrRamuKaH saH mAtuH samIpam AgatavAn
sp027-000112_002	hastena raktam mArjayan mAtaram uktavAn ca
sp027-000113_002	amba rAjalakzaRadyotakAn dantAn sarvAn idAnIm nivAritavAnasmi
sp027-000114_002	idAnIm mama muKe rAjalakzaRam sarvaTA nAsti
sp027-000115_002	aham kadApi rAjA na BavizyAmi
sp027-000116_002	ezA mama pratijYA
sp027-000117_002	idAnIm BavatyAH cintA apagatA syAt Kalu
sp027-000118_002	aham BavatIm kadApi na vismarizyAmi iti
sp027-000119_002	putreRa yat sAhasam kftam tat paSyantyAH duHKitAyAH tasyAH netrAByAm aSruDArA AgatA
sp027-000120_002	putraH yat prema pradarSitavAn tataH manasi AnandataraNgAH api saYcaranti sma
sp027-000121_002	ataH tasyAH muKataH nirgatA aSruDArA duHKa suKa miSritA AsIt
sp027-000122_002	vatsa iti vadantI sA dvitrARi padAni agre gatvA putram dfQam AliNgitavatI
sp027-000123_002	evam mAtuH nimittam rAjapadavIm eva nirvyAmoham parityaktavAn saH sAhasI taruRaH eva cARakya nAmA itihAse prasidDaH asti
sp027-000124_003	gaNgAyAH tIre BaktaSrezWaH tulasIdAsaH rAmAyaRakAvyam gAyati sma pratidinam
sp027-000125_003	tat Srotum bahavaH tatra AgacCanti sma
sp027-000126_003	kaScit vfdDaH api pratidinam tatra AgacCati sma
sp027-000127_003	rAmAyaRaSravaRasamaye tasya netrAByAm aSrURi AgacCanti sma
sp027-000128_003	ekadA tam vfdDam pfzwavAn tulasIdAsaH
sp027-000129_003	kaH BavAn
sp027-000130_003	rAmAyaRapaWanasamaye BavataH rodanam kimarTam
sp027-000131_003	kim kenacit gfhakleSena pIqyamAnaH asti BavAn iti
sp027-000132_003	taTA na
sp027-000133_003	yatra raGunATakIrtanam Bavati tatra aham BavAmi
sp027-000134_003	rAmanAma SravaRAt mama netrAByAm AnandASrURi AgacCanti iti uktavAn saH vfdDaH
sp027-000135_003	etat SrutvA AScaryam anuBavan tulasIdAsaH tam sandehena pfzwavAn
sp027-000136_003	BavAn rAmaBaktaH mArutiH tu na Kalu iti
sp027-000137_003	Am
sp027-000138_003	ahameva mArutiH iti uktavAn vfdDaH
sp027-000139_003	etat SrutvA santuzwaH tulasIdAsaH tam BaktyA namaskftya pfzwavAn
sp027-000140_003	BavataH kiYcit sAhAyyam AvaSyakam
sp027-000141_003	aham rAmam drazwumicCAmi
sp027-000142_003	kim BavAn darSayitum SaknuyAt iti
sp027-000143_003	avaSyam darSayizyAmi
sp027-000144_003	BavAn tam kadA drazwum icCati iti pfzwavAn mArutiH
sp027-000145_003	SvaH gfhe aham rAmadarSanArTam sannadDaH san sTAsyAmi
sp027-000146_003	astu iti uktvA tataH nirgatavAn mArutiH
sp027-000147_003	anantaradine tulasIdAsaH pUjArTam prasAdAdikam sajjIkftya gfhe rAmasya pratIkzAm kurvan sTitavAn
sp027-000148_003	maDyAhnaH atItaH cedapi rAmaH na dfzwaH
sp027-000149_003	atrAntare dvO Bikzuko tatra AgatO
sp027-000150_003	BojanAdikam dfzwvA tO prArTitavantO Arya Bojanam dIyatAm iti
sp027-000151_003	tadA tulasIdAsaH kroDena etatsarvam rAmasya kfte mayA sajjIkftam
sp027-000152_003	etat BavatoH kfte kaTam vA dAtum Sakyeta
sp027-000153_003	kimapi na dIyate atra
sp027-000154_003	nirgamyatAm iti tarjayitvA tO prezitavAn
sp027-000155_003	kiYcitkAlAnantaram tatra pratyakzIBUtaH mArutiH pfzwavAn
sp027-000156_003	kim rAmam dfzwavAn BavAn iti
