sp004-000001_KS_11	अभ्यर्थ्येति
sp004-000002_KS_11	सुरेन्द्रप्रमुखैः इन्द्रादिभिः समग्रैः समस्तैः विबुधैः देवैः उपेत्य समीपम् आगत्य
sp004-000003_KS_11	प्रह्वैः नम्रैः सद्भिः अभ्यर्थ्यमाना याच्यमाना सुरापगा मन्दाकिनी
sp004-000004_KS_11	आशु शीघ्रम् मूर्ता मूर्तिमती सती
sp004-000005_KS_11	तम् कुमारम् सुधया दुग्धामृतेन अतिपूर्णम् बहुभृतम् स्वम् आत्मीयम् स्तनम् पाययामास पानम् कारितवती
sp004-000006_KS_11	सर्गेऽस्मिन् वृत्तम् उपजातिः
sp004-000007_KS_11	पिबन्निति
sp004-000008_KS_11	सः कुमारः तस्याः मन्दाकिन्याः स्तनयोः सम्बन्धिनम् सुधौघम् दुग्धामृतसमूहम् पिबन्
sp004-000009_KS_11	अत एव क्षणङ्क्षणम् प्रतिक्षणम् साधु यथा स्यात् तथा समेधमानः सम्यक् वर्धमानः
sp004-000010_KS_11	षड्भिः कृत्तिकाभिः एत्य निषेव्यमाणः श्रियमाणश्च सन्
sp004-000011_KS_11	कामपि लोकोत्तराम् आकृतिम् प्राप्तवान्
sp004-000012_KS_11	खलु वाक्यालङ्कारे खलु स्यात् वाक्यभूषायाम् इति विश्वः
sp004-000013_KS_11	भागीरथीति
sp004-000014_KS_11	आनन्दबाष्पैः आकुललोचनानाम् व्याप्तनेत्राणाम्
sp004-000015_KS_11	पावकश्च कृत्तिकाश्च पावककृत्तिकाः
sp004-000016_KS_11	भागीरथ्या गङ्गया सहिता याः पावककृत्तिकाः
sp004-000017_KS_11	तासाम् सम्बन्धि दिव्यम् लोकोत्तरस्वरूपम् तम् नन्दनम्
sp004-000018_KS_11	पुत्रम् उपात्तुम् ग्रहीतुम् परस्परम् अन्योन्यम् प्रौढतरः अतिशयितः विवादः कलहः आसीत्
sp004-000019_KS_11	ममायम् ममायमिति प्रवादपूर्वकः कलिर्बभूवेत्यर्थः
sp004-000020_KS_11	अत्रान्तर इति
sp004-000021_KS_11	अत्रान्तरे कलहावसरे शिवः पर्वतराजपुत्र्या पार्वत्या समम् सह स्वैरविहारो यथेच्छविहारः
sp004-000022_KS_11	तस्माद्धेतोः कारणात् मनः अतिवेगेन चेतसोऽपि अतिशयजवेन विमानेन नभः
sp004-000023_KS_11	अन्तरिक्षम् विगाहमानह अवलोडयन् तत्र कलहस्थाने जगाम प्राप
sp004-000024_KS_11	निसर्गेति
sp004-000025_KS_11	गिरिजागिरीशौ निसर्गेण स्वभावेन यद्वात्सल्यम् दयावत्त्वम् तस्य वशात् हेतोः
sp004-000026_KS_11	विवृद्धः प्रवृद्धः प्रमोदः हर्षः ययोस्तथाभूतौ
sp004-000027_KS_11	अत एव गलदश्रुणी प्रवहद्बाष्पे नेत्रे ययोः तथाभूतौ सन्तौ
sp004-000028_KS_11	षड्दिनानि जन्मदिनादारभ्य इत्यर्थः
sp004-000029_KS_11	जातानि व्यतीतानि यस्य सः षड्दिनजातः
sp004-000030_KS_11	स एव षड्दिनजातमात्रः तम् षडाननम् षण्मुखम् तम् कुमारम् अपश्यताम् दृष्टवन्तौ
sp004-000031_KS_11	अथेति
sp004-000032_KS_11	अथ दर्शनानन्तरम् देवी भवानी
sp004-000033_KS_11	पुरस्तात् अयम् कः
sp004-000034_KS_11	अथवा कस्य धन्यतमस्य पुंसो दिव्यवपुः आदितेयसदृशविग्रहः शिशुः बालः
sp004-000035_KS_11	पुत्र इति यावत्
sp004-000036_KS_11	अस्य शिशोः माता जननी का
sp004-000037_KS_11	या भाग्यवतीषु धुर्या अग्रगण्या
sp004-000038_KS_11	धुरो यढ्ढकौ इति यत्
sp004-000039_KS_11	एतन्मातृत्वादिति भावः
sp004-000040_KS_11	इत्येवम् प्रश्नभूतम् वचः शशिखण्डमौलिम् हरम् आह उक्तवती
sp004-000041_KS_11	आहेति विभक्तिप्रतिरूपकम् अव्ययम्
sp004-000042_KS_11	तथा चोक्तम् अव्ययानामनन्तत्वात् गणनाय न शक्यते
sp004-000043_KS_11	महाकविप्रयोगेषु यदि सिद्धात्परम् च तत् इति
sp004-000044_KS_11	स्वर्गापगेति
sp004-000045_KS_11	किञ्च
sp004-000046_KS_11	असौ स्वर्गापगा गङ्गा
sp004-000047_KS_11	अयम् अनलः अग्निः
sp004-000048_KS_11	एताः षट् कृत्तिकाः कलहायमानाः कलहम् कुर्वाणाः सत्यः
sp004-000049_KS_11	शब्दवैरकलह इत्यादिना करोत्यर्थे क्यङ्
sp004-000050_KS_11	अयम् पुत्रो मम सम्बन्धी इति गङ्गावाक्यम्
sp004-000051_KS_11	अयम् तव न किन्तु मम इत्यग्निवाक्यम्
sp004-000052_KS_11	इत्थम् मिथ्या उभयोः युवयोः मध्ये न कस्यापि किन्तु अस्माकमिति सत्यम् इति कृत्तिकावाक्यम्
sp004-000053_KS_11	इति परस्परम् वैलक्ष्यम् वैलक्षण्यम् यथा तथा किम् किमर्थम् उदाहरन्ति विवदन्ते
sp004-000054_KS_11	एतेष्विति
sp004-000055_KS_11	हे ईश एतेषु स्वर्गापगादिषु मध्ये कस्य इदम् अपत्यम् पुत्रः
sp004-000056_KS_11	किम्भूतम्
sp004-000057_KS_11	अखिला या त्रिलोकी तत्र तिलकायमानम् तिलकैव आचरत्
sp004-000058_KS_11	कर्तुः क्यङ् सलोपश्च इत्याचारार्थे क्यङ्
sp004-000059_KS_11	ततः आत्मनेपदित्वात् शानच्
sp004-000060_KS_11	अथ अथवा
sp004-000061_KS_11	सिद्धाः देवविशेषाः
sp004-000062_KS_11	उरगाः सर्पाः
sp004-000063_KS_11	राक्षसाः निशाचराः
sp004-000064_KS_11	देवदैत्यगन्धर्वसहिताः ये सिद्ध उरगराक्षसाः तेषु मध्ये अन्यतमस्य कस्यापीति वद इत्यर्थः
sp004-000065_KS_11	श्रुत्वेतीति
sp004-000066_KS_11	चन्द्रचूडो हरः कौतूहलिन्याः श्रवणे कौतुकवत्याः हृदयप्रियायाः पार्वत्याः इति पूर्वोक्तम् वाक्यम् वचः
sp004-000067_KS_11	वच परिभाषणे ऋहलोर्ण्यत् इति ण्यत्
sp004-000068_KS_11	श्रुत्वा विमला स्मितश्रीः यस्य
sp004-000069_KS_11	किञ्चिद्विहस्येत्यर्थः
sp004-000070_KS_11	सान्द्रः सघनः बहुः इति यावत्
sp004-000071_KS_11	यः प्रमोदो हर्षः
sp004-000072_KS_11	प्रमोदामोदसम्मुदाः इत्यमरः
sp004-000073_KS_11	तस्य उदयः उत्पत्तिः तेन यत्सौख्यम् तस्य हेतुभूतम्
sp004-000074_KS_11	तज्जनकम् इत्यर्थः
sp004-000075_KS_11	वचः वचनम् अवोचत उक्तवान्
sp004-000076_KS_11	जगत्त्रयीति
sp004-000077_KS_11	हे प्रिये जगत्त्रय्याः नन्दनः आनन्दकारकः
sp004-000078_KS_11	नन्द्यादित्वात् नन्दिग्रहि इति ल्युः
sp004-000079_KS_11	वीरः पराक्रमी एष पुरोवर्ती शिशुः प्रवीरमातुः प्रकृष्टवीरजनन्याः तव नन्दनः पुत्रः अस्ति
sp004-000080_KS_11	ममैवायम् नन्दनः इत्यत्र किम् मानम् इत्याशङ्क्य आह
sp004-000081_KS_11	हे कल्याणि सुराणाम् इन्द्रादीनाम् कल्याणकरः
sp004-000082_KS_11	शर्मकारी एष पुरोवर्ती सर्गः सृष्टिः
sp004-000083_KS_11	पुत्र इति यावत्
sp004-000084_KS_11	त्वत्तः अपरस्याः त्वदन्यस्याः स्त्रियाः कथम् केन प्रकारेण स्यात्
sp004-000085_KS_11	तारकविनाशजनितकल्याणकरत्वे त्वज्जनितस्यैव शक्तिः
sp004-000086_KS_11	अतः तवैवायम् पुत्र इति भावः
sp004-000087_KS_11	देवी इति
sp004-000088_KS_11	हे देवि प्रिये जगताम् मङ्गलानि मङ्गलकर्माणि गानानि गीतानि
sp004-000089_KS_11	मङ्गलप्रबन्धरूपाणीति यावत्
sp004-000090_KS_11	तेषाम् हेतोः कारणस्य अस्य शिशोः सर्गे सृष्टौ
sp004-000091_KS_11	उत्पत्ताविति यावत्
sp004-000092_KS_11	त्वमेव निदानम् आदिकारणम् आस्से उपविशसि
sp004-000093_KS_11	असीत्यर्थः
sp004-000094_KS_11	निदानम् त्वादिकारणम् इत्यमरः
sp004-000095_KS_11	आस उपवेशने लटः मध्यमपुरुषैकवचनम्
sp004-000096_KS_11	ननु अहमेव कारणम् इत्यत्र किम् मानम् इति दृष्टान्तेन दर्शयति
sp004-000097_KS_11	त्वमेवेति सत्यम्
sp004-000098_KS_11	विचारयस्व
sp004-000099_KS_11	किमिति तत्
sp004-000100_KS_11	रत्नम् रत्नाकरे समुद्र एव
sp004-000101_KS_11	अथ च रत्नखनावेव युज्यते युक्तम् भवति
sp004-000102_KS_11	खनिः स्त्रियाम् आकरः स्यात् इति
sp004-000103_KS_11	रत्नाकरो जलनिधिः इति च अमरः
sp004-000104_KS_11	अत इति
sp004-000105_KS_11	गर्भत्वमिति
sp004-000106_KS_11	हे प्रिये अतः कारणात्
sp004-000107_KS_11	अवहितेन अवधानेन
sp004-000108_KS_11	सावधानतयेति यावत्
sp004-000109_KS_11	भावे निष्ठा
sp004-000110_KS_11	वृत्तम् वृत्तान्तम् शृणुष्व शृणु
sp004-000111_KS_11	तथाहि
sp004-000112_KS_11	मया यद्बीजम् वीर्यम् अग्नौ निहितम् स्थापितम् तद्बीजम् त्रिदशापगायाम् गङ्गायाम् अन्तः मध्ये सङ्क्रान्तम् लग्नम्
