sp019-000001_lahari_2	भावना कीदृशी तस्य
sp019-000002_lahari_2	कमला अतीव उत्साहवती आसीत् तस्मिन् दिने
sp019-000003_lahari_2	तया उद्योगो लब्धः
sp019-000004_lahari_2	इतःपरम् तया सदा पितुः ज्येष्ठभ्रातुः वा अवलम्बनम् न कार्यम् भवति धनाय
sp019-000005_lahari_2	अल्पानाम् आवश्यकतानाम् कृतेति पितः शतम् रूप्यकाणि देहि इति वा
sp019-000006_lahari_2	भ्रातः किम् रूप्यकाणाम् पञ्चशतम् दातुमर्हसि इति वा
sp019-000007_lahari_2	वक्तव्यम् न भवति
sp019-000008_lahari_2	इतःपरम् सा न केवलम् स्वयम् यथेच्छम् व्ययितुमर्हति
sp019-000009_lahari_2	किन्तु गृहार्थे अपेक्षितानि वस्तूनि क्रीत्वा आनेतुमपि
sp019-000010_lahari_2	मात्रे दुकूलम् एकम् क्रीत्वा दास्यामि प्रथममासस्य वेतनेन इति सा अचिन्तयत्
sp019-000011_lahari_2	आत्मानम् सम्यक् अलङ्कृत्य उत्तमम् वसनम् वसना कमला पितरौ वन्दित्वा कार्यालयम् गता
sp019-000012_lahari_2	कार्यालयो महान् वैभवोपेतश्च
sp019-000013_lahari_2	विदेशीयानाम् तन्त्रांशस्य कार्यालयः
sp019-000014_lahari_2	तत्र कति उद्योगिनः
sp019-000015_lahari_2	कियत् कार्यम्
sp019-000016_lahari_2	बह्व्यः महिलाश्च तस्याः विभागे आसन्
sp019-000017_lahari_2	तासाम् वस्त्रधारणवैखरी वाग्विलासः चलनम् वलनम् दक्षता इति एकैकोऽपि गुणः कमलाम् विस्माययति स्म
sp019-000018_lahari_2	किन्तु सौन्दर्यदृष्ट्या तु सैव उत्कृष्टा इति स्पष्टम् आसीत्
sp019-000019_lahari_2	सहोद्योगिनः युवानः तरुण्यः च ताम् सासूयम् पश्यन्ति स्म
sp019-000020_lahari_2	भाषणकलायामपि कमला चतुरा
sp019-000021_lahari_2	स्वीयम् कार्यम् च मनो निधाय करोति स्म सा
sp019-000022_lahari_2	अतः सर्वेषाम् आकर्षणकेन्द्रम् जाता सा कतिपयैः एव दिवसैः
sp019-000023_lahari_2	प्रथमम् वेतनम् प्राप्य मात्रे दुकूलम् पित्रे अङ्गवस्त्रम् भ्रात्रे श्रेष्ठाम् लेखनीम् भ्रातृजायै अङ्गरागपेटिकाम् च उपहृतवती सा
sp019-000024_lahari_2	सर्वे सन्तोषनिर्भराः अभवन्
sp019-000025_lahari_2	संस्थायाः निर्देशकाः विदेशात् आगताः
sp019-000026_lahari_2	तेषाम् स्वागतम् कार्यालयस्य सुन्दरीभिः कर्तव्यम् इति अधिकारिभिः निश्चितम्
sp019-000027_lahari_2	तथा विचितासु कन्यासु कमला एव प्रमुखा
sp019-000028_lahari_2	तया प्रधाननिर्देशकाय कुसुमगुच्छम् प्रदेयम् स्वागतवेलायाम् इति निर्धारः कृतः
sp019-000029_lahari_2	स्वागतसमारम्भः सुसम्पन्नः
sp019-000030_lahari_2	कमलया अर्पितम् पुष्पगुच्छम् स्वीकृत्य प्रधाननिर्देशकः अतितमम् सन्तुष्टः अभूत्
sp019-000031_lahari_2	सर्वेऽपि समारम्भानन्तरम् कमलाम् अभिनन्दितवन्तः
sp019-000032_lahari_2	विशेषतो गोपालकृष्णाख्यः अधिकारी
sp019-000033_lahari_2	तत आरभ्य गोपालकृष्णः कमलायाम् अधिकम् स्नेहम् दर्शयितुमारब्धवान्
sp019-000034_lahari_2	मध्याह्नभोजनम् उद्योगिनः कार्यालयस्य भोजनशालायाम् स्वीकुर्वन्ति स्म
sp019-000035_lahari_2	अधिकारिणस्तु सीये एव प्रकोष्ठे
sp019-000036_lahari_2	गोपालकृष्णः कमलाम् स्वप्रकोष्ठे एव भोजनम् स्वीकर्तुम् आह्वयत्
sp019-000037_lahari_2	यद्यपि सा नैच्छत् तथापि उच्छादिकारिणः वाक्यम् न निराकरणीयमिति सा अङ्गीकृतवती
sp019-000038_lahari_2	तदनन्तरम् तस्याः सहोद्योगिन्यः ताम् भिन्नया दृष्ट्या द्रष्टुम् आरभन्त
sp019-000039_lahari_2	रेखानाम्नी काचन अब्रवीत्
sp019-000040_lahari_2	अयि कमले त्वम् विशिष्टानुग्रहस्य भाजनमसि
sp019-000041_lahari_2	अनुभवानन्दम् शीघ्रम् उद्योगिनोन्नतिम् अपि प्राप्स्यसीति तर्कयामि
sp019-000042_lahari_2	कमला कोपवती अभूत्
sp019-000043_lahari_2	मा वद किमपि
sp019-000044_lahari_2	अधिकारिवाक्यम् न निराकरणीयमिति अद्य अहम् तत्र भोजनम् कृतवती
sp019-000045_lahari_2	तत्र कोऽपि अन्यः अर्थः न कल्पनीयः त्वया
sp019-000046_lahari_2	इति सा अवदत् रेखाम्
sp019-000047_lahari_2	सा सोप्रासम् हसित्वा द्रक्ष्यामः परस्तात् इति उक्तवती
sp019-000048_lahari_2	कमला खिन्ना अभवत्
sp019-000049_lahari_2	तूष्णीम् गृहम् गता
sp019-000050_lahari_2	परेद्युः गोपालकृष्णः पुनः भोजनाय आह्वयत्
sp019-000051_lahari_2	किम् कर्तव्यम् इति कमलायाम् चिन्तापरायाम् रेखाप्रभृतयः परस्परम् स्मितानाम् विनिमये निरताः
sp019-000052_lahari_2	ममाद्य अनामयम् नास्ति
sp019-000053_lahari_2	भोजने आसक्तिः एव नास्ति क्षन्तव्यास्मि इति व्याजेन कमला गोपालकृष्णस्य आह्वानम् परिहृतवती
sp019-000054_lahari_2	ततः कमला चिन्ता ग्रस्ता
sp019-000055_lahari_2	अयम् महानुभावः मयि कस्मादेवम् दर्शयति आसक्तिम्
sp019-000056_lahari_2	माम् कस्मात् सखीनाम् अपहासस्य भाजनम् करोति
sp019-000057_lahari_2	इति चिन्तासन्ततिः ताम् अबाधत
sp019-000058_lahari_2	अन्येभ्यो काचित् सहोद्योगिनी ताम् रहः आहूय उक्तवती
sp019-000059_lahari_2	कमले अहम् तव हितैषिणी अन्यथा तव भावना मास्तु
sp019-000060_lahari_2	एते अधिकारिणः न विश्वासार्हाः
sp019-000061_lahari_2	गोपालकृष्णः त्वाम् अत्यासक्त्या वीक्षमाणः मया दृष्टः
sp019-000062_lahari_2	त्वया जागरूकया भवितव्यम्
sp019-000063_lahari_2	स विवाहितः
sp019-000064_lahari_2	तस्य भार्या अस्ति पुत्रौ च स्तः
sp019-000065_lahari_2	एतादृशः न जाने कथम् त्वयि आसक्तिम् निर्लज्जतया दर्शयति इति
sp019-000066_lahari_2	मधुरैः वचनैः वञ्चिता मा स्म भूः इति
sp019-000067_lahari_2	कमलायाः नेत्रयोः अश्रूणि अदृश्यन्त
sp019-000068_lahari_2	कृतज्ञतास्मि हितवचनाय मम तस्मिन् कापि आसक्तिः नास्ति
sp019-000069_lahari_2	उच्चाधिकारी इति हेतोः तद्वचनम् निराकर्तुम् बिभेमि
sp019-000070_lahari_2	इतःपरम् तु केनापि उपायेन तद्दर्शनम् परिहरिष्यामि इति उक्त्वा
