sp025-000001_001	ftuH parivartate
sp025-000002_001	asmin varze nidAGasya tApaH api aDikaH AsIt
sp025-000003_001	paraYca suKadam idam vfttam yat varzartuH kAle eva samprAptaH
sp025-000004_001	deSasya anekezu sTAnezu mUsalADAra vfzwi kAraRAt sudinAni saYjAtAni
sp025-000005_001	varzAyAH anantaram pravahamAnEH SItalEH manda samIrEH vigata dinAnAm AtApAt muktiH anuBUyate
sp025-000006_001	asmABiH sarvEH api anuBUtam yat jIvane kiyatI api vyagratA Bavet
sp025-000007_001	kiyatI api AtatiH syAt Bavatu nAma vEyaktikam jIvanam vA sArvajanikam varzAyAH Agamanam hi asmadIyAm manasaH sTitim api parivartayati
sp025-000008_001	sAmpratantu jagataH api kezucit sTAnezu BagavataH jagannATasya raTayAtrA mahotsavaH AmAnyate
sp025-000009_001	api ca BagavatA jagannATena sAkameva rAzwrasya nirDanaH saMyuktoऽsti
sp025-000010_001	ye janAH qA bAbA sAheb ambeqakarasya jIvanam aDItavantaH te nUnam anuBUtavantaH yat saH BagavataH jagannATasya mandiram etadavizayiRIH paramparAH ca atitarAm praSaMsati sma
sp025-000011_001	yato hi atra sAmAjika nyAyaH sAmAjikI ca samarasatA antarnihite staH
sp025-000012_001	vastutastu BagavAn jagannATaH nirDanAnAm devatA
sp025-000013_001	taTA ca ANgla BAzAyAm ekaH SabdaH asti jugarnAw
sp025-000014_001	manye nyUnAH eva avagatAH syuH yad asya arTaH Bavati
sp025-000015_001	etAdfSaH BavyaH raTaH yasya gatiH apratihatA Bavati na kaScana api enam avarodDum pArayati
sp025-000016_001	jugarnAw iti Sabdasya SabdakoSIyena arTeRa api jYAyate yat jagannATasya raTa sAmyatvena jugarnAw iti SabdaH samudBUtaH
sp025-000017_001	ata eva vayam avagantum SaknumaH yat BagavataH jagannATasya yAtrEzA aSeza saMsAreRa sva sva prakAreRa kiyatA mahatA mAhAtmyena ca svIkriyate
sp025-000018_001	Bagavato jagannATasya raTayAtrAyAH SuBeऽsmin avasare sarveByoऽpi rAzwravAsiByaH SuBa kAmanAH vitarAmi
sp025-000019_001	Bagavato jagannATasya SrIcaraRezu api praRAmAYjalIn ca nivedayAmi
sp025-000020_001	BAratasya viviDatA cAsti BAratasya Saktirapi
sp025-000021_001	ramajAnasya pavitramAsaH pavitra BAvEH prArTanABiH ca sarve samAcaritavantaH
sp025-000022_001	samprati vartate Id parva
sp025-000023_001	Id ul PItar parvaRaH avasare mama pakzataH sarveByaH BUriSaH maNgala kAmanAH
sp025-000024_001	ramajAna mAsaH puRya dAnasya mAsatvena KyApyate prasannatAyAH vitaraRasya ca mAsaH asti
sp025-000025_001	yAvan mAtrikam prasannatA vitaraRam Bavati tAvantyaH prasannatAH vivarDante
sp025-000026_001	AgacCantu vayam sarve militvA eteByaH pavitra samutsaveByaH preraRAm AdAya prasannatA pravAhAn vitarema deSaYca agresArayema
sp025-000027_001	ramajAnasya pavitra mAsAvaDO uttara pradeSasya bijanOrasya mubArakapura grAmasya ekA mahatI prerikA GawanA mama dfzwipaTam AgatA
sp025-000028_001	ramajAna mAsAvaDO grAmavAsinaH militvA SOcAlayAnAm nirmARArTam nirRItavantaH
sp025-000029_001	eteByaH grAmavAsiByaH prAyeRa sapta daSa lakza rUpyakARi sAhAyya rUpeRa pradattAni
sp025-000030_001	etad jYAtvA BavantaH suKadam AScaryam Anandam cApi anuBavizyanti
sp025-000031_001	asmadIyAH sarveऽpi muslima BrAtaraH BaginyaH ca
sp025-000032_001	ramajAna mAsAvaDO sarvakArAya tAm saptadaSa lakza rUpyakAtmikAm rASim parAvartitavantaH
sp025-000033_001	api ca te evam uktavantaH yad vayam svaSrameRa svIya rUpyakEH eva nija SOcAlayAn nirmAsyAmaH
sp025-000034_001	sapta daSa lakza rUpyakAtmikA ezA rASiH grAmasya anya sOviDyArTam upayuktaH syAt
sp025-000035_001	ramajAnasya pavitrAvasaraH samAjasya lABArTam tEH upayuktaH iti kftvA aham mubArakapurasya sarvAn api grAmavAsinaH aBinandAmi
sp025-000036_001	tezAm pratyekamapi nirRayaH atitarAm prerakaH asti
sp025-000037_001	api ca sarvato aDikataram avaDeyamidam yat tEH mubArakapuram anAvfta SOcAcaraRAt muktam vihitam
sp025-000038_001	vayam jAnImaH yat sikkim himAcal keraL iti rAjya trayam pUrvataH eva anAvfta SOcAcaraRAt muktam Gozitam
sp025-000039_001	saptAhe asmin uttarAKaRqa hariyARA iti rAjya dvayamapi o qi eP iti anAvfta SOcAcaraRAt muktam Gozitam
sp025-000040_001	etat kArya pUrtyarTam aham etezAm paYcAnAm rAjyAnAm praSAsanAya SAsanAya viSezeRa ca janatA janArdanAya sADuvAdAn vyAharAmi
sp025-000041_001	vayam saMyuktayA jAnImaH vyakteH jIvane samAjasya jIvane ca yat kimapi samucitam karaRIyam asti cet atitarAm kaWoraH pariSramaH karaRIyo Bavati
sp025-000042_001	yadi asmAkam hasta leKaH samyak nAsti sa ca samyak karaRIyaH cet tadA sudIrGa kAlam yAvat atitarAm avaDAnatayA prayatanIyam Bavati
sp025-000043_001	tadanu eva SarIrasya manasaH ca aByAsaH parivartate
sp025-000044_001	svacCatAyAH vizayoऽpi etAdfSaH eva asti
sp025-000045_001	kAnicit vyasanAni asmadIya svaBAvasya aNgarUpARi Bavanti
sp025-000046_001	etAni asmadIyAcaraRasya aNgatvena vartante
sp025-000047_001	etAni apasArayitum aviratam asmABiH nUnam prayatanIyam
sp025-000048_001	vAram vAram etadvizayakam smaraRamapi karaRIyam
sp025-000049_001	pratyekamapi janasya DyAnAkarzaRamapi viDeyam
sp025-000050_001	samIcInAnAm prerikARAm ca GawanAnAm pOnaHpunikam smaraRamapi karaRIyam
sp025-000051_001	taTA ca prasIdAmitarAm yat adyatve svacCatA vizayaH sarvakArIya kAryakramatvena eva nEva pravartate
sp025-000052_001	ayam tu jana sAmAnyasya jana samAjasya ca Andolanatvena satatam pariRamate
sp025-000053_001	SAsanArUQAH janAH api yadA jana saha BAgitayA kAryamenat agresArayanti tadA atulanIyA SaktiH vivarDate
sp025-000054_001	vigatezu dinezu ekA uttamA GawanA mama DyAne upasTitA yAm aham BavatAm samakzam nUnam kaTayizyAmi
sp025-000055_001	ezAsti GawanA AnDrapradeSasya vijayanagaram janapadasya
sp025-000056_001	tatratya praSAsanena jana saha BAgitAyAH bfhadekam kAryam ArabDam
sp025-000057_001	mArca mAse daSa dinANkAt prAtaH zaq vAdanAt AraBya caturdaSa dine prAtaH daSavAdanam yAvat arTAt Sata horAvaDim yAvat anAratam aBiyAnam
sp025-000058_001	lakzyam kimAsIt Sata horAvaDO eka saptatO grAma paYcAyatezu daSa sahasram gfhAByantarIRAnAm SOcAlayAnAm nirmARam
sp025-000059_001	ayi BoH mama priyAH deSavAsinaH
sp025-000060_001	vfttamenat jYAtvA BavantaH prasannAH Bavizyanti yat janatA janArdanena SAsanena ca samBUya Satam horAsu daSa sahasram SOcAlayAnAm nirmARam saPalatayA pUrRatAm nItam
sp025-000061_001	eka saptatiH grAmAH o qi eP iti anAvfta SOcAcaraRAt muktAH jAtAH
sp025-000062_001	aham SAsanADirUQAn SAsanikADikAriRaH vijayAnagaram janapadasya etAn grAma nAgarikAn ca BUriSaH varDApayAmi
sp025-000063_001	yat te pariSrama parAkAzWAm svIkftya uttamam prerakodAharaRam upasTApitavantaH
sp025-000064_001	etezu dinezu man kI bAt iti kAryakrame satatam aham janatA janArdanasya pakzataH parAmarSAn avApnomi
sp025-000065_001	SrImAn prakASa tripAWI ApAtakAlam smArayan aliKat yat jUna mAsIyam paYca vinSatitamam dinam lokatantrasya itihAse kAluzya pUrRa kAla KaRqa rUpeRa vartate
sp025-000066_001	SrIprakASa tripAWinaH lokatantram prati ezA jAgftiH praSaMsanIyA vartate
sp025-000067_001	lokatantram na kevalam ekA vyavasTA etacca saMskAratvena api virAjate
sp025-000068_001	vigate SatAbde paYcasaptati tame varze jUnamAse paYca vinSatitamA rAtriH tAdfSI kAluzyapUrRA AsIt yAm na kaScana api lokatantra premI vismartum Saknoti
sp025-000069_001	na kaScana BAratavAsI enAm vismartum pArayati
sp025-000070_001	ekaprakAreRa aSeza deSaH kArAgfhatvena parivartitaH AsIt
sp025-000071_001	viroDi svaraH damitaH
sp025-000072_001	jaya prakASa nArAyaRena saha rAzwrasya gaRa mAnyAH netAraH kArAsu bandino aBUvan
sp025-000073_001	nyAya vyavasTA api ApAtakAlasya BIkara rUpasya CAyayA AcCAditA AsIt
sp025-000074_001	vArtApatrARi tu pUrRarUpeRa pratibadDAni Asan
sp025-000075_001	patrakAritA jagataH vidyArTinaH lokatantrasya karmakarAH ca lokatantrasya tam kAluzyapUrRam kAlaKaRqam smarantaH lokatantram prati avaDAna saMvarDanAya satatam prayAsAn anutizWantaH Asan
sp025-000076_001	api cEtad nUnam karaRIyam
sp025-000077_001	tadA awala bihAri vAjapeyi varyaH api kArAyAm pihitaH AsIt
sp025-000078_001	yadA varzAvaDikaH kAlaH yApitaH tena tadA kArAyAmeva ekA kavitA viracitA
sp025-000079_001	asyAm kavitAyAm tena tatkAlInA manaHsTitiH varRItA asti
sp025-000080_001	lokatantrasya premiRaH kaWina taram yudDam sammuKIkftavantaH
sp025-000081_001	BAratam nAma viSAlam rAzwram prApte sati kAle BAratasya pratyekamapi janasya cetasi lokatantram kiyat vyApakam virAjate iti
sp025-000082_001	nirvAcana mADyamena sA loka SaktiH pradarSitAsti
sp025-000083_001	pratyekamapi janasya cetasi parivyAptasya asya lokatantrasya BAvaH asmadIyaH amftaH rikTaH vartate
sp025-000084_001	asmABiH rikToऽyam itaH paramapi dfQataraH karaRIyaH
sp025-000085_001	mama priyAH deSavAsinaH pratyekamapi BAratIyaH adyatve SirAnsi unnamayya gOravam anuBavati
sp025-000086_001	varzeऽsmin jUna mAse ekavinSatitame dine sampUrRamapi viSvam yogamayam ajAyata
sp025-000087_001	jalataH parvata paryantam janAH praBAte eva yogAByAsa mADyamena BagavataH sUryasya kiraRAnAm svAgatam akurvan
sp025-000088_001	kaScana nAma vA BAratIyaH Bavet yo etadvizaye nUnam gOravam nAnuBavet
sp025-000089_001	evam nAsti yat yogAcaraRam pUrvamapi na kriyate sma
sp025-000090_001	parantu adyatve yadA yogasUtreRa badDAH smaH yogaH viSvam saMyojayitum kAraRatvena virAjate
sp025-000091_001	viSvasya prAyeRa sarveऽpi deSAH yogasya avasaramenam svIyAvasara rUpeRa svIkftavantaH
sp025-000092_001	siNgApura sadfSe laGuni sTAne saptatyaDikezu sTalezu kAryakramAH aBUvan api ca te saptAhAvaDikam aBiyAnamekam pravartitavantaH
sp025-000093_001	saMyukta rAzwra saNGena antArAzwriya yoga divasam Alakzya daSa prEza mudrANkAH prasAritAH
sp025-000094_001	saMyukta rAzwra saNGasya aDikAriRaH kArmikAH aSeza jagataH kUwanItijYAH ceti sarveऽpi atra sahaBAgitvam niravahan
sp025-000095_001	sAmpratam punarekavAram yogena viSvasya ABileKyamapi arjitam
sp025-000096_001	ahamapi laKanaU nagare yoga kAryakrame sahaBAgitvasya avasaram prAptavAn paraYca praTamavAram varzAyAm yogAByAsasya sadBAgyam mayA prAptam
sp025-000097_001	asmAkam sEnikAH siyAcin parvata SiKare yatra viMSati paYcaviMSati catvAriMSat qIgrImitam nyUnam tApamAnam Bavati tatra yogAByAsam kftavantaH
sp025-000098_001	etad yoga divasAvasare aham uktavAn yat santati trayam yato hi tftIyoऽyam antArAzwriya yoga varzIya divasaH ataH kuwumbasya santati trayam yugapadeva yogAByAsam kurvadeva taccitram prezayet
sp025-000099_001	kAScana dfSya vAhikAH api taTyamenat pracAritavatyaH
sp025-000100_001	yena prakAreRa aSeza jagati yogaH paricarcyate tasmAt ekam lABakaram taTyamidam samudBavati yat adyatanaH svAsTya jAgarUka samAjaH samIcInatAtaH anArogyatAm prati agresarati
sp025-000101_001	te idam anuBavanti yat samIcInatAyAH mahattvam tu astyeva paraYca anArogyatAyAH kfte yogaH uttamottamaH mArgaH asti
sp025-000102_001	mahodaya mama jijYAsA vartate
sp025-000103_001	nAticiram keraLe vayam Bavantam SrutavantaH
sp025-000104_001	viBinnezu sTalezu upahAratvena puzpa gucCAH pradIyante
sp025-000105_001	etat sTAne asmABiH smftyupahAratvena pustakAni pradeyAni
sp025-000106_001	etadvizayakaH SuBAramBaH BavAn gujarAte nija kAryakAle vihitavAn
sp025-000107_001	sAmpratam nEtat asmABiH dfSyate
sp025-000108_001	kim vayam sandarBeऽsmin kimapi kartum pArayem
sp025-000109_001	yena deSa vyApinA stareRa asya kAryAnvayanam syAt
sp025-000110_001	vigatezu dinezu aham mama priyatamezu anyatame kAryakrame sahaBAgitvasya avasaram labDavAn
sp025-000111_001	keraLe suzWu kAryakramaH ekaH pracalati
sp025-000112_001	asya kAryakramasya SuBAramBArTam aham tatra AmantritaH AsIt
sp025-000113_001	tatra mahyam etat sUcitam yat te puzpa gucCam nEva paraYca pustakam dadati
sp025-000114_001	mahyam idam rocate sma
sp025-000115_001	mayA yat vismAritamAsIt Jawiti tat punaH smaraRADInam jAtam
sp025-000116_001	yato hi yadAham gujarAte Asam tadA mayA praSAsane ekA paramparA pravartitA yadvayam puzpa gucCam nEva pustakAni dAsyAmaH
sp025-000117_001	Ahosvit karavastreRa svAgatam karizyAmaH
sp025-000118_001	api ca KAdI karavastreRa eva yena KAdI vastrARAm saMvarDanam syAt
sp025-000119_001	yAvatparyantam gujarAte Asam asmAkam sarvezAm aByAsaH jAtaH param atrAgamanasya anantaram saH aByAsaH vyapagataH
sp025-000120_001	kintu keraLa gamanena saH aByAsaH punaH jAgftaH taTA ca aham tu praSAsane punaH etat sUcayitum AraBam
sp025-000121_001	vayamapi SanEH SanEH tAdfSam svaBAvam vikAsayitum SaknumaH
sp025-000122_001	ekavAram svIkftya parityajAmaH
sp025-000123_001	parantu pustakam dIyate cet tattu gfhasya kuwumbasya ca aNgatvena pariBAvyate
sp025-000124_001	KAdI kara vastra pradAnena api anekezAm nirDanAnAm sAhAyyam Bavati
sp025-000125_001	vyayaH api nyUnaH Bavati samucita rUpeRa tasya upayogo jAyate
sp025-000126_001	yadA etadaham varRayAmi tadA saMsmarAmi yat etAdfSa vyavahArasya bahumAtrikam EtihAsikam ca mahatvam Bavati
sp025-000127_001	gate varze yadA aham yU ke deSam gatavAn tadA lanqan nagare briwen sAmrAjYI kvIn elijAbet mAm nimantritavatI
sp025-000128_001	tatra mAtf sahajaH pariveSaH AsIt
sp025-000129_001	tadA tasyAH nayanayoH alOkikaH jyotiH vyarAjata
sp025-000130_001	sA uktavatI yat yadA mama vivAhaH saYjAtaH tadA etat kara vastram mahAtma gAnDI maNgala kAmanA upahAratvena mahyam prezitavAn
sp025-000131_001	kati varzARi vyatItAni
sp025-000132_001	taTA ca sA mAm darSayantI asti iti kftvA sA Ananda sandoham anuBavati sma
sp025-000133_001	api ca yadA aham tat paSyan Asam tadA sA sAgraham mAm uktavatI yat spfzwvA etat anuBaveyam
sp025-000134_001	mahAtma gAnDinA pradattaH alpIyAn api upahAraH tasyAH jIvanasya aNgatvena ajAyata tasyAH itivfttasya aviBAjyaH BAgaH aBavat
sp025-000135_001	taTA ca yadA hi vayam etAdfSam kimapi AlapAmaH janAH AlocanAmapi kurvanti
sp025-000136_001	kutracit gacCAmi tatra kaScana puzpagucCam upAharati cet tasya pratizeDam nEva karizyAmi paraYca parizkArArTam tu satatam prayatizyAmahe
sp025-000137_001	mama priyAH deSavAsinaH praDAnamantriRaH dAyitva kAraRAt aneka prakArakARi kAryARi mayA karaRIyAni Bavanti
sp025-000138_001	paYjikAsu magnAH BavAmaH paraYca aham svasmE aByAsamekam vikAsitavAn yat mama kfte yAni patrARi laByante tezu kAnicit aham pratidinam paWAmi
sp025-000139_001	evam hi aham sAmAnya janEH saha sampfkto BavAmi
sp025-000140_001	aneka prakArakARi Bavanti etAni patrARi
sp025-000141_001	pfTak pfTak janAH etAni patrARi liKanti
sp025-000142_001	etezu dinezu ekam tAdfSam patram paWitum avasaram labDavAn yat avaSyam mayA tadvizaye BavatAm samakzam vivarRanIyam
sp025-000143_001	dUre sudUre dakziRa pradeSe tamilnAqu rAjye sTitasya madurAI nagarasya ekA gfhiRI arula moJI sarvanan mahyam patramekam prAhiRot
sp025-000144_001	sA aliKat yat kuwumbasya bAlAnAm SikzaRArTam mayA kiYcit ArTika kArya jAtam viDAtum vicAritam
sp025-000145_001	ataH mayA mudrA yojanA mADyamena bENkAt kiYcit Danam Adattam vipaRItaH ca sAmagrIm AnIya ApUrti kAryam ArabDam
sp025-000146_001	mayA anvizwam yat kimetat
sp025-000147_001	kecana janAH mayA pfzwAH
sp025-000148_001	tadanu aham AtmAnam tatra paYjIkAritavatI
sp025-000149_001	aham deSavAsinaH sUcayitum icCAmi yat BavantaH api labDe sati avasare inwaranew iti antarjAle I jI I em ityatra avalokayantu
sp025-000150_001	ezA nUtanA lABapradAyinI vyavasTA vartate
sp025-000151_001	yaH kaScana praSAsanAya kimapi vastu jAtam ApUrayitum vAYCati laGu laGUni vastUni prezayitum icCati
sp025-000152_001	yaTA vidyuddIpAn avakara kaRqolikAH mArjanIH AsandikAH ADAra pawalAni prezayitum vA vikretum vA vAYCati te atra svIya paYjIkaraRam kartum Saknuvanti
sp025-000153_001	vastUnAm guRatvam viliKya mUlyAdikam nirdiSya ca sUcayitum arhati
sp025-000154_001	sarvakArIya viBAgAnAm kfte etat anivAryam vartate yat te nUnam etat prezitam sarvam vivaraRam avalokayeyuH
sp025-000155_001	anantaram sarvam samyak asti cet tadvastu prezaRAya Adezwavyam
sp025-000156_001	evaMrItyA ye maDyasTAH Bavanti tezAmatra hasta kzepo nEva BavitA
sp025-000157_001	sarva viDam pAradarSitvam samApannam
sp025-000158_001	praviDi mADyamena eva sarvam saYjAyate
sp025-000159_001	ataH I jI I em iti vyavasTAyAH antargatam ye janAH paYjIkaraRam kurvanti tAn sarvakArasya sarveऽpi viBAgAH avalokayanti
sp025-000160_001	maDyasTAH janAH nEva Bavanti iti kftvA vastUni mahArGARi nEva Bavanti
sp025-000161_001	aDunA arul moJI mahABAgA sarvakArasya antarjAla vAhikAm prati yAm yAm sAmagrIm prezayitum Saknoti tAsAm sarvAsAm paYjIkaraRam vihitam vartate
sp025-000162_001	tasyAH patramidam atitarAm rucikaram vartate
sp025-000163_001	sA aliKat yat ekataH mayA mudrA taH Danam labDam mama vyApAraH AraBataH
sp025-000164_001	tadvizayiRI sUcI sTApitA taTA ca pI em o iti praDAnamantriRaH kAryAlayAt AdeSaH avAptaH
sp025-000165_001	etadasti SaktI karaRam
sp025-000166_001	etat ca asti udyaminAm protsAhanAvasaraH
sp025-000167_001	yadi arula moJI mAm patram nEva aliKizyat tadA ahamapi etadarTam niDyAtum nEva apArayizyam
sp025-000168_001	ezA asti deSasya SaktiH
sp025-000169_001	atra pAra darSitvamapi vartate SaktIkaraRamapi asti udyamitvamapi vartate
sp025-000170_001	mama priyAH deSavAsinaH ekataH vayam yoga vizayakam gOravam anuBavAmaH
sp025-000171_001	aparataH vayam antarikza vijYAne asmadIyAH aDigatopalabDIH aBilakzyApi garvam anuBavitum SaknumaH
sp025-000172_001	iyamevAsti BAratasya viSezatA
sp025-000173_001	yadi asmAkam pAdO yogADftO BUmO staH aparataH asmadIyAH svapnAH sudUre gaganasya sImAnam atikrAntum vartante
sp025-000174_001	vigatezu dinezu BAratena krIqAsu vijYAne cApi subahu anuzWIya pradarSitam
sp025-000175_001	adyatve BAratam na kevalam BUmO antarikze api svIyam Dvajam uttolayati
sp025-000176_001	etezu upagrahezu BAratamatiricya PrA~s jarmanI iwalI jApAn briwen amerikA praBftayaH prAyaH caturdaSa deSAH samAvizwAH santi
sp025-000177_001	BArasya neno upagrahABiyAnena kfzi kzetre kfzakARAm kAryezu prAkftikApatsu cApi mahat sAhAyyam avApsyate
sp025-000178_001	pratyekamapi BAratIyaH etad gOravamapi anuBavitum Saknoti yat katipaya divaseByaH prAk isro ityanena jI sew UnaviMSatiH ityasya saPalam prakzepaRam vyadaDAt
sp025-000179_001	api ca BAratena aDunAvaDi prakziptopagrahezu sarvADikam BArayutam avartata
sp025-000180_001	asmAkam deSasya vArtApatrE tu asya BAra tulanA gaja BAreRa sArDam vihitAsIt
sp025-000181_001	BavantaH kalpayitum Saknuvanti yadasmadIyAH vEjYAnikAH antarikze kiyat bfhat kAryam kftavantaH
sp025-000182_001	sahasra dinAnantaramapi asmadIyam maNgala yAnam kAryam karoti citrARi prezayati sUcanAH prezayati
sp025-000183_001	iyam hi antarikza kzetre asmadIyA mahatvADAyinI sidDiH vartate
sp025-000184_001	etezu dinezu krIqAsu api asmadIyAnAm yUnAm pravfttiH ruciSca sameDete iti vayam paSyAmaH
sp025-000185_001	sAmpratam etad avalokyate yat aDyayanena sahEva krIqAsvapi asmAkInAH yuvAnaH svIyam praSastam Bavizyat pariBAvayanti
sp025-000186_001	taTA ca asmAkam krIqakAnAm kAraRAt tezAm puruzArTeRa tezAYca sidDi kAraRAt rAzwrasya nAmApi kIrti yutam Bavati
sp025-000187_001	asyE upalabDyE tam tasya praSikzakam ca hfdayena aBinandAmi
sp025-000188_001	vayam krIqAH yAvatIH vivarDayizyAmaH tAvatyaH eva krIqA BAvAH sparDA BAvanASca vivarDizyante
sp025-000189_001	krIqAH vyaktitvasya vikAsArTamapi atitarAm mahatvADAyinIm BUmikAm nirvahanti
sp025-000190_001	sarva viDa vyaktitva vikAsAya KelAnAm atimAhAtmyam vartate
sp025-000191_001	deSe pratiBAnAm kiYcidapi nEyUnyam nEva vartate
sp025-000192_001	yadi asmAkam kuwumbepi bAlAnAm aBiruciH KelA vizayiRI asti cet teByaH tAByaSca nUnam avasarAH pradeyAH
sp025-000193_001	tAn tASca krIqA kzetreByaH samAkfzya kakzezu pihitvA pustaka paWanAya vivaSIkaraRam nEvAsti samIcInam
sp025-000194_001	te tASca paWantu nAma tasmin kzetrepi agresaranti cet nUnam agresarantu
sp025-000195_001	paraYca krIqAsu tezAm sAmarTyam asti aBiruciH pravartate cet tadA vidyAlayasya mahAvidyAlayasya kuwumbasya paripArSva vartinaH sarvepi janAH tAn samarTya protsAhayeyuH
sp025-000196_001	BAvinInAm olampik sparDAnAm kfte pratyekamapi janena svapnAyitum Sakyate
sp025-000197_001	punarekavAram mama priyAH deSavAsinaH varzartuH anAratam utsavAnAm pariveSaH paramArTena etat sarvA kAlaKaRqasya nUtanA eva anuBUtiH Bavati
sp025-000198_001	aham punarekavAram BavadByaH sarveByaH maNgala kAmanAH vyAharan AgAmi manogatam iti man kI bAt ityasya samaye punaH samBAzizye
sp025-000199_001	namaskAraH
sp025-000200_002	mAnavasya manaH eva tAdfSam yadasmE varzAkAlaH rocate
sp025-000201_002	kAloऽyam atitarAm ramaRIyaH
sp025-000202_002	paSu pakzi pAdapa vfkza prakfti iti pratyekamapi varzAyAH Agamanena praPullatAm anuBavati
sp025-000203_002	paraYca kadAcit yadA prakftiH vikarAlam rUpam Datte tadA anuBavAmaH yat jalasya vinASa SaktiH kiyatI balavattarA Bavati
sp025-000204_002	prakftiH asmaByam jIvanam dadAti pAlayati ca paraYca kadAcit jalapUra BUkampa sadfSIBiH prAkftikApadBiH saha asyAH BIzaRam svarUpam bahu vinASakAri Bavati
sp025-000205_002	parivartamAne ftu cakre paryAvaraRe ca yat kimapi parivartate tasya bfhattaraH nakArAtmakaH praBAvaH api saYjAyate
sp025-000206_002	jalapUra praBAvitAnAm kzetrARAm pUrRam avekzaRam viDIyate
sp025-000207_002	vyApaka stareRa sAhAyya kAryARi ca anuzWIyante
sp025-000208_002	yatra Sakyamasti tatra mantri parizadaH mama sahakarmiRaH api prayAnti
sp025-000209_002	rAjya praSAsanAni api sva sva padDatyA pUra prapIqitAnAm sAhAyyArTam samagratayA prayatante
sp025-000210_002	sAmAjika saNGawanAni api sAMskftika saNGawanAni api sevABAvena kArya niratAH nAgarikAH api etAdfSIzu sTitizu janeByaH sAhAyyam prApayitum sarvAtmanA prayatante
sp025-000211_002	jala pUrEH jana jIvanam atitarAm vyagram vyAkulam vyastaYca Bavati
sp025-000212_002	SasyAni paSuDanam ADAraBUtAni sADanAni mArgAH vidyudApUrtiH saYcAra samparkAH ceti sarvamapi duzpraBavati
sp025-000213_002	viSezeRa asmadIyAH kfzaka BrAtaraH tezAm ca kfzi kzetrARi SasyAni ca duzpraBavanti
sp025-000214_002	ataH etezu dinezu Agopa samavAyAH viSezeRa ca SasyAgopa samavAyAH pUrvataH eva sakriyatayA vyavahareyuH iti kftvA yojanA viracitAsti yena kfzakAH SIGrameva svIya pratyarTitvam samADAtum SaknuyuH
sp025-000215_002	api ca jalapUra sTitim pratIkartum aharniSam niyantraRa kakzasya sahAyinI dUraBAza saNKyA ekam SUnyam sapta azwO iti anAratam kAryaniratAsti
sp025-000216_002	janAH api sva sva kAWinyAni sUcayanti
sp025-000217_002	varzartoH AgamanAt prAk aDikatamezu sTAnezu pUrvAByAsam kftvA aSezamapi praSAsakIyam tantram sannadDIkftamAsIt
sp025-000218_002	en qI Ar eP iti rAzwriyApadA prabanDana balasya gaRAH niyojitAH
sp025-000219_002	nAnA sTalezu ApadA mitrARAm nirmARam tezAYca kartavyAkartavya praSikzaRam svayaMsevinAm nirDAraRam ceti jana saNGawanam nirmIya etAdfSyAm sTitO kAryARi AcaraRIyAni Bavanti
sp025-000220_002	etezu dinezu ftoH pUrvAnumAnamapi laByate
sp025-000221_002	sAmpratam praviDiH pronnataH jAtaH
sp025-000222_002	antarIkza vijYAnasyApi atra mahatI BUmikA vartate
sp025-000223_002	asya sAhAyyena pUrvAnumAnam prAyeRa samIcInameva jAyate
sp025-000224_002	SanEH SanEH vayamapi tAdfSam svaBAvam svIkurmaH yena ftoH pUrvAnumAnasya anusAreRa svIya kArya kalApAn viracayAmaH
sp025-000225_002	yadA hi man kI bAt ityetadarTam sannadDatAm karomi anuBavAmi yat deSasya nAgarikAH mattoऽpi aDikataram samupakalpayanti
sp025-000226_002	asmin krame tu jI es wI iti vastu sevA karADAna vizayakARi anekAni patrARi aDigatAni nEkAH dUraBAza samAkAraRAH avAptAH
sp025-000227_002	sAmpratamapi janAH jI es wI iti vastu sevA karADAna vizaye prasannatAm prakawayanti jijYAsAmapi kurvanti
sp025-000228_002	ekam dUraBAza samBAzaRam aham BavataH api SrAvayAmi
sp025-000229_002	atitarAm santozam anuBavAmi prasIdAmi ca yadA kaScana nirDanaH patram liKitvA mAm vadati yat jI es wI kAraRAt mama nirDanasya kfte AvaSyaka vastUnAm mUlyAni kena prakAreRa nyUnIBUtAni
sp025-000230_002	kena prakAreRa ca vastUni alpa mUlyAtmakAni saMvfttAni
sp025-000231_002	yadi dUre sudUre uttara pUrvIye digviBAge parvatezu araRyezu ca nivasan kaScana janaH patram liKati kaTayati ca yad jI es wI iti kimastIti AramBe atitarAm BItiH anuBUyate sma
sp025-000232_002	paraYca yadAham etad vizaye avagantum Sikzitum ca AraBam anuBavAmi yanmama kAryam pUrvataH apekzayA saralataram ajAyata
