sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-000002_KS_04	samprati tadvfttAntamevAha
sp002-000003_KS_04	aTeti
sp002-000004_KS_04	aTa anantaram moho mUrcCA param ayanam ASrayo yasyAH sA mohaparAyaRA mohEkaSaraRA satI
sp002-000005_KS_04	parAyaRam aBiprete tatpare paramASraye iti yAdavaH
sp002-000006_KS_04	vivaSA mUQatvAt niScezwA kAmavaDUH ratiH
sp002-000007_KS_04	asahyA duHsahA vedanA yasmin tat taToktam
sp002-000008_KS_04	viDavAyAH gataBartfkAyAH BAvaH vEDavyam
sp002-000009_KS_04	navam ca tadvEDavyam ca iti navavEDavyam
sp002-000010_KS_04	navagrahaRam duHsahatvadyotanArTam
sp002-000011_KS_04	pratipAdayizyatA anuBAvayizyatA
sp002-000012_KS_04	kriyArTakriyAyAm lfw
sp002-000013_KS_04	viDinA dEvena
sp002-000014_KS_04	viDirviDAne dEve ca ityamaraH
sp002-000015_KS_04	viboDitA
sp002-000016_KS_04	vEDavyAnuPaloyam viDiH iti BAvaH
sp002-000017_KS_04	asmin sarge viyoginIvfttAni
sp002-000018_KS_04	vizame sasajA guruH same saBarA loऽTa gururviyoginI iti lakzaRAt
sp002-000019_KS_04	aveti
sp002-000020_KS_04	sA ratiH pralayAnte mUrcCAvasAne
sp002-000021_KS_04	pralayo nazwacezwatA ityamaraH
sp002-000022_KS_04	unmizite unmIlite vilocane
sp002-000023_KS_04	avaDAnam param praDAnam yayoH te avaDAnapare didfkzayAvahite cakAra
sp002-000024_KS_04	drazwavyABAvAttu na viveda ityAha
sp002-000025_KS_04	neti
sp002-000026_KS_04	priyam kAmam atfptayoH tfptim na gatayoH
sp002-000027_KS_04	nityadidfkzamARayorityarTaH
sp002-000028_KS_04	tayorlocanayoH
sp002-000029_KS_04	darSanakriyApekzayA sambanDe zazWI
sp002-000030_KS_04	atyantaviluptam darSanam svalocanayoH karaRayoH yasya karmaBUtasya
sp002-000031_KS_04	tam atyantaviluptadarSanam santam na viveda na jYAtavatI
sp002-000032_KS_04	priyanASAparijYAnAt didfkzAYcakre iti tAtparyArTaH
sp002-000033_KS_04	ayIti
sp002-000034_KS_04	ayIti praSne
sp002-000035_KS_04	ayi praSna anunayayoH iti viSvaH
sp002-000036_KS_04	ayi jIvitanATa jIvasi prARizi kaccit iti aBiDAya utTitayA tayA ratyA puraH agre kzitO
sp002-000037_KS_04	puruzasyAkftiriva Akftiryasya tatpuruzAkfti kevalamekam harakopAnalaBasma dadfSe dfzwam
sp002-000038_KS_04	na tu puruzaH iti BAvaH
sp002-000039_KS_04	aTeti
sp002-000040_KS_04	aTa BasmadarSanAnantaram punareva vihvalA viklavA vasuDAliNganaDUsarastanI
sp002-000041_KS_04	vasuDAliNganena kzitiluRWanena DUsarO DUsaravarRO stanO kucO yasyAH sA taToktA
sp002-000042_KS_04	svANgAcca upasarjanAt asaMyogopaDAt iti NIz
sp002-000043_KS_04	vikIrRamUrDajA vikIrRAH vikziptAH mUrDajAH keSAH
sp002-000044_KS_04	yasyAH sA taToktA sA ratiH sTalIm vanaBUmim
sp002-000045_KS_04	tatratyAnprARinaH ityarTaH
sp002-000046_KS_04	jAnapadakuRqagoRasTala ityAdinA NIz
sp002-000047_KS_04	samaduHKAm svatulyaSokAm kurvatIva vilalApa paridevitavatI
sp002-000048_KS_04	vilApaH paridevanam ityamaraH
sp002-000049_KS_04	upeti
sp002-000050_KS_04	tava yatkaraRam gAtram
sp002-000051_KS_04	karaRam sADakatamam kzetragotrendriyezvapi ityamaraH
sp002-000052_KS_04	kAntimattayA sOndaryeRa hetunA vilAsinAm vilasanaSIlAnAm
sp002-000053_KS_04	vO kazalasa ityAdinA GinuRpratyayaH
sp002-000054_KS_04	upamIyate yena upamAnam aBUt
sp002-000055_KS_04	tatkaraRam idam IdfSIm daSAm avasTAm gatam
sp002-000056_KS_04	BasmIBUtamityarTaH
sp002-000057_KS_04	taTApi na vidIrye na vidIrRA BavAmi
sp002-000058_KS_04	kartari law
sp002-000059_KS_04	taTAhi
sp002-000060_KS_04	striyaH kaWinAH Kalu
sp002-000061_KS_04	kaWinatvAt avidIryamARatvamityarTaH
sp002-000062_KS_04	kAraRAtkAryasamarTanarUpaH arTAntaranyAsaH
sp002-000063_KS_04	DIrasaYcAriRI dfzwirgatirgovfzaBAYcitA
sp002-000064_KS_04	smitapUrvam taTAlApo vilAsa iti kIrtitaH
sp002-000065_KS_04	iti
sp002-000066_KS_04	kveti
sp002-000067_KS_04	he priya kzatasetubanDanaH BagnasetubanDanaH jalasaNGAtaH jalOGaH nalinImiva
sp002-000068_KS_04	jalEkAyattajIvitAmiti SezaH
sp002-000069_KS_04	tvadaDInajIvitAm tvadAyattaprARAm mAm kvanu vinikIrya kutra vA nikzipya kzaRaBinnasOhfdaH kzaRatyaktasOhArdaH san
sp002-000070_KS_04	vidrutaH palAyitoऽsi
sp002-000071_KS_04	setusOhfdayoH sTitahetutvena sAmyam
sp002-000072_KS_04	suhfdaH BAvaH sOhfdam
sp002-000073_KS_04	yuvAditvAt aRpratyayaH
sp002-000074_KS_04	hfdayasya hft leKayat aRlAsezu iti hfdAdeSaH
sp002-000075_KS_04	aRi hfdBAvAt na hfdBagasinDvante pUrvapadasya ca iti uBayapadavfdDiH
sp002-000076_KS_04	hfdBUtasya aRviDAne tu uBayapadavfdDiH syAt
sp002-000077_KS_04	yaTA suhfdaH BAvaH sOhArdamiti
sp002-000078_KS_04	tadevAha vAmanaH sOhfdadOrhfdaSabdO anaRi hfdBAvAt iti
sp002-000079_KS_04	kfteti
sp002-000080_KS_04	he priya tvam me mama vipriyam apriyam kftavAn na asi
sp002-000081_KS_04	mayA ca te tava pratikUlam apriyam na kftam
sp002-000082_KS_04	paraspara jIvitasya parasparADInatvAt kutaH pariBavaSaNkA iti BAvaH
sp002-000083_KS_04	akAraRam nizkAraRameva
sp002-000084_KS_04	parasparApakArarUpa kAraRABAve api ityarTaH
sp002-000085_KS_04	kriyAviSezaRametat
sp002-000086_KS_04	vilapantyE
sp002-000087_KS_04	tvaddarSanArTinyE apIti BAvaH
sp002-000088_KS_04	rataye kim kaTam darSanam na dIyate
sp002-000089_KS_04	kriyAgrahaRAt caturTI
sp002-000090_KS_04	smarasIti
sp002-000091_KS_04	he smara gotrasKalitezu nAmavyatyAsezu
sp002-000092_KS_04	gotram nAmni acale kule iti viSvaH
