sp002-000001_KS_04	मूर्च्छिता रतिः इत्युक्तम्
sp002-000002_KS_04	सम्प्रति तद्वृत्तान्तमेवाह
sp002-000003_KS_04	अथेति
sp002-000004_KS_04	अथ अनन्तरम् मोहो मूर्च्छा परम् अयनम् आश्रयो यस्याः सा मोहपरायणा मोहैकशरणा सती
sp002-000005_KS_04	परायणम् अभिप्रेते तत्परे परमाश्रये इति यादवः
sp002-000006_KS_04	विवशा मूढत्वात् निश्चेष्टा कामवधूः रतिः
sp002-000007_KS_04	असह्या दुःसहा वेदना यस्मिन् तत् तथोक्तम्
sp002-000008_KS_04	विधवायाः गतभर्तृकायाः भावः वैधव्यम्
sp002-000009_KS_04	नवम् च तद्वैधव्यम् च इति नववैधव्यम्
sp002-000010_KS_04	नवग्रहणम् दुःसहत्वद्योतनार्थम्
sp002-000011_KS_04	प्रतिपादयिष्यता अनुभावयिष्यता
sp002-000012_KS_04	क्रियार्थक्रियायाम् लृट्
sp002-000013_KS_04	विधिना दैवेन
sp002-000014_KS_04	विधिर्विधाने दैवे च इत्यमरः
sp002-000015_KS_04	विबोधिता
sp002-000016_KS_04	वैधव्यानुफलोयम् विधिः इति भावः
sp002-000017_KS_04	अस्मिन् सर्गे वियोगिनीवृत्तानि
sp002-000018_KS_04	विषमे ससजा गुरुः समे सभरा लोऽथ गुरुर्वियोगिनी इति लक्षणात्
sp002-000019_KS_04	अवेति
sp002-000020_KS_04	सा रतिः प्रलयान्ते मूर्च्छावसाने
sp002-000021_KS_04	प्रलयो नष्टचेष्टता इत्यमरः
sp002-000022_KS_04	उन्मिषिते उन्मीलिते विलोचने
sp002-000023_KS_04	अवधानम् परम् प्रधानम् ययोः ते अवधानपरे दिदृक्षयावहिते चकार
sp002-000024_KS_04	द्रष्टव्याभावात्तु न विवेद इत्याह
sp002-000025_KS_04	नेति
sp002-000026_KS_04	प्रियम् कामम् अतृप्तयोः तृप्तिम् न गतयोः
sp002-000027_KS_04	नित्यदिदृक्षमाणयोरित्यर्थः
sp002-000028_KS_04	तयोर्लोचनयोः
sp002-000029_KS_04	दर्शनक्रियापेक्षया सम्बन्धे षष्ठी
sp002-000030_KS_04	अत्यन्तविलुप्तम् दर्शनम् स्वलोचनयोः करणयोः यस्य कर्मभूतस्य
sp002-000031_KS_04	तम् अत्यन्तविलुप्तदर्शनम् सन्तम् न विवेद न ज्ञातवती
sp002-000032_KS_04	प्रियनाशापरिज्ञानात् दिदृक्षाञ्चक्रे इति तात्पर्यार्थः
sp002-000033_KS_04	अयीति
sp002-000034_KS_04	अयीति प्रश्ने
sp002-000035_KS_04	अयि प्रश्न अनुनययोः इति विश्वः
sp002-000036_KS_04	अयि जीवितनाथ जीवसि प्राणिषि कच्चित् इति अभिधाय उत्थितया तया रत्या पुरः अग्रे क्षितौ
sp002-000037_KS_04	पुरुषस्याकृतिरिव आकृतिर्यस्य तत्पुरुषाकृति केवलमेकम् हरकोपानलभस्म ददृशे दृष्टम्
sp002-000038_KS_04	न तु पुरुषः इति भावः
sp002-000039_KS_04	अथेति
sp002-000040_KS_04	अथ भस्मदर्शनानन्तरम् पुनरेव विह्वला विक्लवा वसुधालिङ्गनधूसरस्तनी
sp002-000041_KS_04	वसुधालिङ्गनेन क्षितिलुण्ठनेन धूसरौ धूसरवर्णौ स्तनौ कुचौ यस्याः सा तथोक्ता
sp002-000042_KS_04	स्वाङ्गाच्च उपसर्जनात् असंयोगोपधात् इति ङीष्
sp002-000043_KS_04	विकीर्णमूर्धजा विकीर्णाः विक्षिप्ताः मूर्धजाः केशाः
sp002-000044_KS_04	यस्याः सा तथोक्ता सा रतिः स्थलीम् वनभूमिम्
sp002-000045_KS_04	तत्रत्यान्प्राणिनः इत्यर्थः
sp002-000046_KS_04	जानपदकुण्डगोणस्थल इत्यादिना ङीष्
sp002-000047_KS_04	समदुःखाम् स्वतुल्यशोकाम् कुर्वतीव विललाप परिदेवितवती
sp002-000048_KS_04	विलापः परिदेवनम् इत्यमरः
sp002-000049_KS_04	उपेति
sp002-000050_KS_04	तव यत्करणम् गात्रम्
sp002-000051_KS_04	करणम् साधकतमम् क्षेत्रगोत्रेन्द्रियेष्वपि इत्यमरः
sp002-000052_KS_04	कान्तिमत्तया सौन्दर्येण हेतुना विलासिनाम् विलसनशीलानाम्
sp002-000053_KS_04	वौ कषलस इत्यादिना घिनुण्प्रत्ययः
sp002-000054_KS_04	उपमीयते येन उपमानम् अभूत्
sp002-000055_KS_04	तत्करणम् इदम् ईदृशीम् दशाम् अवस्थाम् गतम्
sp002-000056_KS_04	भस्मीभूतमित्यर्थः
sp002-000057_KS_04	तथापि न विदीर्ये न विदीर्णा भवामि
sp002-000058_KS_04	कर्तरि लट्
sp002-000059_KS_04	तथाहि
sp002-000060_KS_04	स्त्रियः कठिनाः खलु
sp002-000061_KS_04	कठिनत्वात् अविदीर्यमाणत्वमित्यर्थः
sp002-000062_KS_04	कारणात्कार्यसमर्थनरूपः अर्थान्तरन्यासः
sp002-000063_KS_04	धीरसञ्चारिणी दृष्टिर्गतिर्गोवृषभाञ्चिता
sp002-000064_KS_04	स्मितपूर्वम् तथालापो विलास इति कीर्तितः
sp002-000065_KS_04	इति
sp002-000066_KS_04	क्वेति
sp002-000067_KS_04	हे प्रिय क्षतसेतुबन्धनः भग्नसेतुबन्धनः जलसङ्घातः जलौघः नलिनीमिव
sp002-000068_KS_04	जलैकायत्तजीवितामिति शेषः
sp002-000069_KS_04	त्वदधीनजीविताम् त्वदायत्तप्राणाम् माम् क्वनु विनिकीर्य कुत्र वा निक्षिप्य क्षणभिन्नसौहृदः क्षणत्यक्तसौहार्दः सन्
sp002-000070_KS_04	विद्रुतः पलायितोऽसि
sp002-000071_KS_04	सेतुसौहृदयोः स्थितहेतुत्वेन साम्यम्
sp002-000072_KS_04	सुहृदः भावः सौहृदम्
sp002-000073_KS_04	युवादित्वात् अण्प्रत्ययः
sp002-000074_KS_04	हृदयस्य हृत् लेखयत् अण्लासेषु इति हृदादेशः
sp002-000075_KS_04	अणि हृद्भावात् न हृद्भगसिन्ध्वन्ते पूर्वपदस्य च इति उभयपदवृद्धिः
sp002-000076_KS_04	हृद्भूतस्य अण्विधाने तु उभयपदवृद्धिः स्यात्
sp002-000077_KS_04	यथा सुहृदः भावः सौहार्दमिति
sp002-000078_KS_04	तदेवाह वामनः सौहृददौर्हृदशब्दौ अनणि हृद्भावात् इति
sp002-000079_KS_04	कृतेति
sp002-000080_KS_04	हे प्रिय त्वम् मे मम विप्रियम् अप्रियम् कृतवान् न असि
sp002-000081_KS_04	मया च ते तव प्रतिकूलम् अप्रियम् न कृतम्
sp002-000082_KS_04	परस्पर जीवितस्य परस्पराधीनत्वात् कुतः परिभवशङ्का इति भावः
sp002-000083_KS_04	अकारणम् निष्कारणमेव
sp002-000084_KS_04	परस्परापकाररूप कारणाभावे अपि इत्यर्थः
sp002-000085_KS_04	क्रियाविशेषणमेतत्
sp002-000086_KS_04	विलपन्त्यै
sp002-000087_KS_04	त्वद्दर्शनार्थिन्यै अपीति भावः
sp002-000088_KS_04	रतये किम् कथम् दर्शनम् न दीयते
sp002-000089_KS_04	क्रियाग्रहणात् चतुर्थी
sp002-000090_KS_04	स्मरसीति
sp002-000091_KS_04	हे स्मर गोत्रस्खलितेषु नामव्यत्यासेषु
sp002-000092_KS_04	गोत्रम् नाम्नि अचले कुले इति विश्वः
sp002-000093_KS_04	मेखलागुणैः बन्धम् स्मरसि उत स्मरसि वा
sp002-000094_KS_04	विकल्पे किम् किमुत च इत्यमरः
sp002-000095_KS_04	च्युतकेशरैः भ्रष्ट किञ्जल्कैः दूषिते ईक्षणे येषु तानि
sp002-000096_KS_04	अवतंसोत्पलताडनानि
sp002-000097_KS_04	सधूलिक्षेपताडनानीत्यर्थः
sp002-000098_KS_04	स्मरसि वा
sp002-000099_KS_04	अपकारस्मरणात् इदम् अदर्शनमिति भावः
sp002-000100_KS_04	हृदय इति
sp002-000101_KS_04	हृदये वससीति स्मरवाक्यानुवादः
sp002-000102_KS_04	इत्येवम् रूपम् मत्प्रियम् यदवोचः उक्तवानसि
sp002-000103_KS_04	ब्रञो लुङि वच उम् इति उमागमः
sp002-000104_KS_04	तत्कैतवम् अवैमि मिथ्या इति मन्ये
sp002-000105_KS_04	इदम् वचनम् उपचारपदम् परस्य रञ्जनार्थम् यदसत्यभाषणम् स उपचारः तस्य पदम् स्थानम्
sp002-000106_KS_04	कैतवस्थानमिति यावत्
sp002-000107_KS_04	न चेत्त्वम् अनङ्गः अशरीरः
sp002-000108_KS_04	कथम् रतिः अक्षता अविनष्टा
sp002-000109_KS_04	आश्रयनाशे अपि आश्रितम् अविनष्टमिति विरोधादिति भावः
sp002-000110_KS_04	परलोकेति
sp002-000111_KS_04	परलोकम् प्रति नवप्रवासिनः अचिरप्रोषितस्य
sp002-000112_KS_04	अनेन अनुगमनकाल अनतिपातः सूच्यते
sp002-000113_KS_04	तव पदवीम् मार्गम् अहम् प्रतिपत्स्ये
sp002-000114_KS_04	त्वाम् अनुगमिष्यामीत्यर्थः
sp002-000115_KS_04	अतः मे नास्ति विचारः इति भावः
sp002-000116_KS_04	किन्तु विधिना दैवेन एषः जनः लोकः वञ्चितः प्रतारितः
sp002-000117_KS_04	देहिनाम् सुखम् त्वदधीनम् त्वयि अधीनम् खलु
sp002-000118_KS_04	अधिशब्दस्य शौण्डादित्वात् सप्तमी शौण्डैः इति समासः
sp002-000119_KS_04	अध्युत्तरपदात् इति खप्रत्ययः
sp002-000120_KS_04	एवम् अन्यत्रापि सुखप्रदाभावे कुतः सुखमिति भावः
sp002-000121_KS_04	रजनीति
sp002-000122_KS_04	हे प्रिय रजनीतिमिरेण अवगुण्ठिते आवृते पुरमार्गे घनशब्दविक्लवाः
sp002-000123_KS_04	गर्जितभीताः प्रियाः कामिनाम् वसतिम् प्रापयितुम् त्वदृते त्वाम् विना
sp002-000124_KS_04	अन्यारादितरर्ते इत्यादिना पञ्चमी
sp002-000125_KS_04	कः ईश्वरः शक्तः
sp002-000126_KS_04	न कश्चित् इत्यर्थः
sp002-000127_KS_04	न हि कामान्धानाम् भीतिः अस्ति इति भावः
sp002-000128_KS_04	नयनानीति
sp002-000129_KS_04	अरुणानि नयनानि घूर्णयन् भ्रामयन्
sp002-000130_KS_04	तथा पदे पदे प्रतिपदम्
sp002-000131_KS_04	वीप्सायाम् द्विरुक्तिः
sp002-000132_KS_04	वचनानि स्खलयन् विपर्यासयन् प्रमदानाम् वारुणीमदः मद्यमदः अधुना
sp002-000133_KS_04	त्वयि असति विडम्बना अनुकृतिमात्रम्
sp002-000134_KS_04	मदनाभावे मदस्य निष्फलत्वादिति भावः
sp002-000135_KS_04	अवगम्येति
sp002-000136_KS_04	हे अनङ्ग अशरीर प्रियबन्धोः प्रियसखस्य तव वपुः शरीरम् कथीकृतम्
sp002-000137_KS_04	अकथा कथा सम्पद्यमानम् कृतम्
sp002-000138_KS_04	शब्दमात्र अवशिष्टम् अवगम्य ज्ञात्वा निष्फलोदयः
sp002-000139_KS_04	उद्दीप्याभावात् उद्दीपनवैफल्यमिति भावः
sp002-000140_KS_04	निशाकरः चन्द्रः बहुले कृष्णपक्षे गते अपि तनुताम् कार्श्यम् दुःखम् यथा तथा कृच्छ्रात् मोक्ष्यति
sp002-000141_KS_04	वृथा वृद्धिरिति दुःखायिष्यते इत्यर्थः
sp002-000142_KS_04	हरितेति
sp002-000143_KS_04	हरितम् च अरुणम् च
sp002-000144_KS_04	वर्णो वर्णेन इति तत्पुरुषः
sp002-000145_KS_04	हरितारुणम् चारु बन्धनम् वृन्तम् पुङ्खश्च यस्य सः तथोक्तः
sp002-000146_KS_04	कलेन मधुरेण पुंस्कोकिलशब्देन पुरुषकोकिलनादेन सूचितः अनुमापितश्च
sp002-000147_KS_04	चूतचर्वणकार्यत्वात् कलशब्दस्य इति भावः
sp002-000148_KS_04	नवचूतप्रसवः नवचूतकुसुमम् सम्प्रति कस्य बाणताम् शरत्वम् गमिष्यति वद
sp002-000149_KS_04	अन्यस्य पुष्पबाणस्य अभावात् इति भावः
sp002-000150_KS_04	अलीति
sp002-000151_KS_04	त्वया अनेकशः बहुशः धनुषः कार्मुकस्य गुणकृत्ये मौर्वीकार्ये गुणवत्कर्मणि च
sp002-000152_KS_04	नियोजिता अधिकृता इयम्
sp002-000153_KS_04	अलिपङ्क्तिः करुणस्वनैः दीनस्वनैः विरुतैः कूजितैः
sp002-000154_KS_04	गुरुशोकाम् दुर्भरदुःखाम्
sp002-000155_KS_04	गुरुस्तु गीष्पतौ श्रेष्ठे गुरौ पितरि दुर्भरे इति शब्दार्णवः
sp002-000156_KS_04	माम् अनुरोदितीव उपसर्गात् सकर्मकत्वम्
sp002-000157_KS_04	रुदादिभ्यः सार्वधातुके इति इडागमः
sp002-000158_KS_04	प्रतिपद्येति
sp002-000159_KS_04	तावत् पुनरपि मनोहरम् वपुः शरीरम् प्रतिपद्य प्राप्य उत्थितः सन्
sp002-000160_KS_04	मधुरालापेषु प्रियोक्तिषु निसर्गपण्डिताम् स्वभावप्रगल्भाम् कोकिलाम् रतिदूतिपदेषु
sp002-000161_KS_04	सुरतदूतीस्थानेषु आदिशा आज्ञापया
sp002-000162_KS_04	प्रगल्भानामेव दौत्याधिकारः इति भावः
sp002-000163_KS_04	ङीबन्तस्यापि दूतीशब्दस्य छन्दोभङ्गभयादत् ह्रस्वः
sp002-000164_KS_04	अपि माषम् मषम् कुर्यात् छन्दोभङ्गे त्यजेद्गिरम् इति केचित्
sp002-000165_KS_04	उणादयो बहुलम् इति बहुलग्रहणात् ह्रस्वः इति वल्लभः
sp002-000166_KS_04	शिरसेति
sp002-000167_KS_04	हे स्मर शिरसा प्रणिपत्य याचितानि सवेपथूनि सकम्पानि
sp002-000168_KS_04	ट्वितो अथुच् इति अथुच्प्रत्ययः
sp002-000169_KS_04	सात्विकान्तरोपलक्षणमेतत्
sp002-000170_KS_04	स्तम्भप्रलयरोमाञ्चाः स्वेदो वैवर्ण्यवेपथू
sp002-000171_KS_04	अश्रुवैश्वर्यमित्यष्टौ सात्विकाः परिकीर्तिताः इति
sp002-000172_KS_04	उपगूढानि आलिङ्गनानि च
sp002-000173_KS_04	नपुंसके भावे क्तः
sp002-000174_KS_04	तानि अनुभूतप्रकाराणि ते रहः एकान्ते सुरतानि च संस्मृत्य मे शान्तिर्नास्ति
sp002-000175_KS_04	अत्र समानकर्तृकत्वम् दुर्घटम् समानक्रियापेक्षास्तीति केचित्
sp002-000176_KS_04	रचितमिति
sp002-000177_KS_04	हे रतिपण्डित रतिकुशल त्वया मम अङ्गेषु अवयवेषु स्वयम् रचितम् ऋतुः अस्य प्राप्तः आर्तवम् वासन्तम्
sp002-000178_KS_04	ऋतोरण् इति अण्प्रत्ययः
sp002-000179_KS_04	कुसुमप्रसाधनम् पुष्पाभरणमिदम् ध्रियते अवतिष्ठते
sp002-000180_KS_04	धृञ् अवस्थाने इति धातोः तौदादिकात्कर्तरि लट्
sp002-000181_KS_04	तव तत्प्रसाधकम् चारु सुन्दरम् वपुस्तु न दृश्यते
sp002-000182_KS_04	विबुधैरिति
sp002-000183_KS_04	दारुणैः क्रूरैः
sp002-000184_KS_04	प्राणान्तिके कर्मणि नियोगादिति भावः
sp002-000185_KS_04	विबुधैर्देवैः
sp002-000186_KS_04	अनभिज्ञत्वम् च ध्वन्यते
sp002-000187_KS_04	यस्य मच्चरणस्य परिकर्मणि प्रसाधने
sp002-000188_KS_04	परिकर्म प्रसाधनम् इत्यमरः
sp002-000189_KS_04	आसमाप्ते सति स्मृतः असि
sp002-000190_KS_04	तमिमम् दक्षिणेतरम् वामम् मे चरणम्
sp002-000191_KS_04	निर्मितरागम् रचितलाक्षारागम् कुरु एहि आगच्छ
