sp022-000001_001	SrI paramAtmane namaH
sp022-000002_001	yaTArTa gItA SrImadBagavadgItA
sp022-000003_001	BagavAn SrIkfzRaH yasmin kAle gItAyAH sadupadeSamprAdAt
sp022-000004_001	tadAnIm tasya manoBAvAH kIdfSAH Asan
sp022-000005_001	te sarve manogatAH BAvAH vaktum na Sakyante
sp022-000006_001	kecana santi BAvAH varRayitum yogyAH kecana BAvaBaNgimayEva prakawayitum arhAH apareSezA BAvAH kriyAtmakAH santi
sp022-000007_001	tAn BAvAn koऽpi janaH tatpaTamAruhyEva jYAtum Saknoti
sp022-000008_001	yasmin stare SrIkfzRaH AsIt
sp022-000009_001	tadeva staram AtmasAt kftvEva kaScit sADanADanaH puruzaH eva jAnAti yat gItA kim kaTayati
sp022-000010_001	saH mahApuruzaH gItAyAH vAkyameva vAramvAram nAvarttayati pratyuta gItoktaBAvAn spazwarUpeRa darSayati
sp022-000011_001	kuto hi yA sTitiH kfzRasya samakzam AsIt sEva sTitiH tasya mahApuruzasya purataH cakAsti
sp022-000012_001	etasmAd eva saH mahApuruzaH sannirIkzate janAn darSayizyati janezu tat saYjAgarayizyati tatpaTe cAlayizyati api
sp022-000013_001	pUjyaSrIparamahaMsajI mahArAjAH api tat starasya eva mahApuruzAH Asan
sp022-000014_001	tezAm vARIBiH antaH preraRABiSca gItAyAH yaH arTaH samprAptaH tasyEva saNkalanam yaTArTagItA asti
sp022-000015_001	svAmI aqagaqAnandaH
sp022-000016_001	gItA mAnavamAtrasya DarmaSAstram asti iti maharzivedavyAsaH
sp022-000017_001	SrIkfzRakAlikam maharzivedavyAsAt pUrvam kimapi SAstram pustakarUpeRa na upalabDam AsIt
sp022-000018_001	SrutajYAnasya imAm paramparAm BaYjayan asO vedacatuzwayam brahmasUtram mahABAratam BAgavatamevam gItA sadfSezu granTezu pUrvasaYcitaBOtikasya taTA aDyAtmikasya ca jYAnarASim saNkalitam kftvA
sp022-000019_001	pariRAme arTAt ante svayam eva nirRayam dattavAn
sp022-000020_001	yat sarvopanizado gAvo dogDA gopAlanandanaH sarvezAm vedAnAm prARaBUtA upanizadAm sAraBUtA varIvarti gItA
sp022-000021_001	yAm gopAlaH SrIkfzRaH dudoho aSAntam jIvam paramAtmanaH darSanonmuKasADanasya sTitim SASvataSAnteH sTitim yAvat anayat
sp022-000022_001	asO mahApuruzaH svakftizu gItAm SAstrasya saYjYAm dadAnaH stutim kftavAn sagarjaMLU GozitavAn ca
sp022-000023_001	gItA samyak aDyayanAnantaram hfdaye DAraRArhA
sp022-000024_001	yA padmanABasya BagavataH SrImuKAnnisftA vARi asti
sp022-000025_002	punaH anyaSAstrARAm saNgrahasya kim prayojanam
sp022-000026_002	gItAyAH sArAMSaH nimnaSlokena vyajyate
sp022-000027_002	arTAt ekamevaSAstram asti yat devakIputrasya BagavataH SrIkfzRasya SrImuKAdgAyitA sEva gItA eka eva prAptavyaH devaH
sp022-000028_002	tasmin gAyane yat satyam pratipAditam tad eva asti AtmA
sp022-000029_002	AtmAnam fte kimapyaparam SASvatam nAsti
sp022-000030_002	tasmin gAyane saH mahAyogeSvaraH kim japanAya kaTitavAn
sp022-000031_002	om
sp022-000032_002	arjuna om akzaya paramAtmanaH nAma asti tasya japam kuru DyAnaYca mama DAraya
sp022-000033_002	gItAyAm varRito Darma eka evAऽsti paramadevasya ekasya paramAtmanaH sevA
sp022-000034_002	tam SradDayA svahfdaye niDehi
sp022-000035_002	astu prAramBata eva gItA BavatAm SAstram samAsIt
sp022-000036_002	BagavataH SrIkfzRasya sahasravarzAnantaram paravarttinaH ye mahApuruzAH ekameveSvaram satyam abruvan te sarve gItAyAH sandeSavAhakAH Asan
sp022-000037_002	ISvarAd eva lOkikataTApAralOkikasuKAnAm kAmanAviDAnam
sp022-000038_002	ISvarAdBayakaraRam anyakamapi ISvaram na svIkaraRam
sp022-000039_002	kintu ISvarIyasADanA ISvaram yAvat gantum lakzyanirDAraRametat sarvam kevalam gItAyAm eva sANgopANga kramabadDam surakzitam vartate
sp022-000040_002	gItAtaH suKaSAntistu milatyeva kintu iyam akzayam anAmayam padamapi dadAti
sp022-000041_002	yadyapi saMsAre sarvatra gItAyAH samAdaro vartate punarapIyam kasyacidDarmasya sampradAyasya vA sAhityapadam na prAptavatI
sp022-000042_002	BArate prAdurBUtA gItA viSvamanIzAyAH nyAsaBUtA virAjate
sp022-000043_002	ato hi asyE rAzwrIyaSAstrasya sammAnam samarpya uttamADamayoH BedaBAvasya taTA kalahaparamparAtaH pIqitaviSvasya sampUrRajanatAByaH SAntipradAnAya prayAsaH karaRIyaH
sp022-000044_003	prAkkaTanam
sp022-000045_003	vastutaH sAmpratam SrImadBagavadgItAyAH wIkAkaraRasya na kApi avaSyakatA pratIyate
sp022-000046_003	kuto hi gItopari SatADikAzwIkAH santi viliKitAH
sp022-000047_003	yAsu wIkAsu paYcASadaDikAH suraBAratyAm eva vilasanti
sp022-000048_003	gItAm ADArIkftya bahUni matAni api sAmpratam pracalanti
sp022-000049_003	yadyapi sarvezAm matAnAm mUlADArarUpeRa gItEva virAjate
sp022-000050_003	vicAraRIyoऽyam praSnaH yad BagavatA yogeSvareRa kimapyekameva sArvaBOmam tattvam pratipAditam
sp022-000051_003	punarapi kAlAntare mataBedAH kutaH prAduraBavan
sp022-000052_003	yaTArTatastu vaktA kimapyekameva parinizWitam tattvam aBivyaYjayati
sp022-000053_003	kintu daSADikasaNKyAkAH SrotAraH tu daSADikaprakAreRa vaktuH ASayam viBAjayanti
sp022-000054_003	janAnAm budDipawale sattvaguRasya rajoguRasya tamoguRasya ca yAdfSaH praBAvaH praBavati
sp022-000055_003	te tenEva stareRa tattaTyam svIkurvanti pracArayanti ca
sp022-000056_003	tataH aDikam te jYAtum na praBavanti
sp022-000057_003	ato hi mataBedAH sahajarUpeRa BavitumarhAH
sp022-000058_003	viBinna matavAdakAraRAt kadAcicca ekasyEva sidDAntasya viBinnasamaye viBinnaBAzAsu ca vyAKyAnAt sAmAnyajanAH saMSayApannA Bavanti
sp022-000059_003	nAnA wIkAyAm maDye tasya satyasya DArA api pravahati
