sp001-000001_RV_01_1-17	mAtApitfByAm jagato namo vAmArDajAnaye
sp001-000002_RV_01_1-17	sadyo dakziRadfkpAtasaNkucadvAmadfzwaye
sp001-000003_RV_01_1-17	antarAyatimiropaSAntaye SAntapAvanamacintyavEBavam
sp001-000004_RV_01_1-17	tam naram vapuzi kuYjaram muKe manmahe kimapi tundilam mahaH
sp001-000005_RV_01_1-17	SaraRam karavARi Sarmadam te caraRam vARi carAcaropajIvyam
sp001-000006_RV_01_1-17	karuRAmasfREH kawAkzapAtEH kuru mAmamba kftArTasArTavAham
sp001-000007_RV_01_1-17	vAgiti
sp001-000008_RV_01_1-17	vAgarTAviva ityekam padam
sp001-000009_RV_01_1-17	ivena saha nityasamAso viBaktyalopaSca
sp001-000010_RV_01_1-17	pUrvapadaprakftisvaratvam ceti vaktavyam
sp001-000011_RV_01_1-17	evam anyatrApi drazwavyam
sp001-000012_RV_01_1-17	vAgarTAviva SabdArTAviva sampfktO
sp001-000013_RV_01_1-17	nityasambadDAvityarTaH
sp001-000014_RV_01_1-17	nityasambadDayoH upamAnatvena upAdAnAt
sp001-000015_RV_01_1-17	nityaH SabdArTasambanDaH iti mImAMsakAH
sp001-000016_RV_01_1-17	jagato lokasya pitarO
sp001-000017_RV_01_1-17	mAtA ca pitA ca pitarO pitA mAtrA iti dvandvEkaSezaH
sp001-000018_RV_01_1-17	mAtApitarO pitarO mAtarapitarO prasU janayitArO ityamaraH
sp001-000019_RV_01_1-17	etena SarvaSivayoH sarvajagaYjanakatayA vESizwyam izwArTapradAnaSaktiH paramakAruRikatvam ca sUcyate
sp001-000020_RV_01_1-17	parvatasya apatyam strI pArvatI
sp001-000021_RV_01_1-17	tasyApatyam ityaR wiqQARaYdvayasacdaGnaY ityAdinA NIp
sp001-000022_RV_01_1-17	pArvatI ca parameSvaraSca pArvatIparameSvarO
sp001-000023_RV_01_1-17	paramaSabdaH sarvottamatva dyotanArTaH
sp001-000024_RV_01_1-17	mAtuH aByarhitatvAt alpAkzaratvAcca pArvatISabdasya pUrvanipAtaH
sp001-000025_RV_01_1-17	vAgarTapratipattaye SabdArTayoH samyagjYAnArTam vande aBivAdaye
sp001-000026_RV_01_1-17	atra upamAlaNkAraH sPuwa eva
sp001-000027_RV_01_1-17	taToktam svataHsidDena Binnena sampannena ca DarmataH
sp001-000028_RV_01_1-17	sAmyamanyena varRyasya vAcyam ced ekagopamA
sp001-000029_RV_01_1-17	iti prAyikaScopamAlaNkAraH kAlidAsoktakAvyAdO
sp001-000030_RV_01_1-17	BUdevatAkasya sarvaguroH magaRasya prayogAt SuBalABaH sUcyate
sp001-000031_RV_01_1-17	taduktam SuBado mo BUmimayaH iti
