sp010-000001_SR_01	samarTaH svAmI rAmadAsaH
sp010-000002_SR_01	vyatItAni sArDatrIRi varzaSatAnAm ekaH zawtriMSadvarzadeSIyastaruRaH sannyAsI cAPala nAmni grAme prAviSat
sp010-000003_SR_01	cAPalanAmA grAmoऽyamasti sTitaH satArAmaRqalasya mARqa nadyAstIre
sp010-000004_SR_01	gfhasya dvAri sTitvA tAreRa svareRa sa Slokamekam udIrayati
sp010-000005_SR_01	sadA sarvadA Bavata prItA rAme
sp010-000006_SR_01	sadAnandayaSa SrI paripUritASca Bavata
sp010-000007_SR_01	duHKacintayA Bavata kadApi na dUnAH
sp010-000008_SR_01	rAmam praBumAtmani nidaData paripUrRAH iti
sp010-000009_SR_01	BUyaSca sa tAramudIrayati jaya jaya raGuvIra samarTa iti
sp010-000010_SR_01	SarIre kAzAyam vAsaH
sp010-000011_SR_01	skanDe BikzAprasevakaH JolI ekasmin haste kamaRqaluH
sp010-000012_SR_01	dvitIye ca yazwi kubaqI pAdayoH kAzWapAduke
sp010-000013_SR_01	muKam tejasvi
sp010-000014_SR_01	vARI cAvarjikApi tejasvinI
sp010-000015_SR_01	gfhiRI kAcit ekasmin bfhati pAtre taRqulAnyAnIya BikzAm ditsati
sp010-000016_SR_01	tAm sannyAsI pratiboDayati mAtaH ekAm muzwimeva pradehi
sp010-000017_SR_01	nADikagrahaRasya asmAkam pAramparI iti
sp010-000018_SR_01	grAmAd bahirAsIdeko vawavfkzaH
sp010-000019_SR_01	tatra sannyAsI vihitavasatiH
sp010-000020_SR_01	DUnI prajvAlitA
sp010-000021_SR_01	pratidinam yaTA sa tatra DyAnasTastasTO
sp010-000022_SR_01	yadA tena unmIlite cakzuzI tadA pramuKavarttini mAle dadfSivAn Bagavato rAmasya DanurDAriRIm mUrttim
sp010-000023_SR_01	ataH paramapi sa DyAnamagno jAtaH
sp010-000024_SR_01	anantaram BUyoऽpi yadonmIlitanetroऽjAyata vyapaSyat tatra taTEva tAmeva Bagavato rAmasya mUrtim saH
sp010-000025_SR_01	yadA tftIyam vAramapi sa eva sAkzAtkAro jAtastadA sannyAsI papracCa
sp010-000026_SR_01	praBo kAऽsti tavecCeti
sp010-000027_SR_01	rAma udatarat ahamatra nivasitumicCAmIti
sp010-000028_SR_01	vArteyam grAmIRezu prasasAra
sp010-000029_SR_01	te kaTayanti Agata ekastyAgI virAgI sannyAsI kaRWastasya maDuraH vARI praBAvavatI
sp010-000030_SR_01	janA ekatritA BavitumArabDAH
sp010-000031_SR_01	kenacit pfzwam mahArAja koऽtra BavAniti sannyAsI prodatarat asmyaham rAmasya dAsaH iti
sp010-000032_SR_02	kuto BavAnAyAti kva vA gantA
sp010-000033_SR_02	sannyAsI kaTayati rAmacaraReBya AyAtaH rAmacaraRAneva gantAsmi iti
sp010-000034_SR_02	aTAnyaH kaScit brUte dUre tizWantu lOkikA ime vfttAntAH Bagavan
sp010-000035_SR_02	Bajanamekam SrAvayat upadiSatvasmAn iti
sp010-000036_SR_02	sannyAsI prAvocat
sp010-000037_SR_02	gaRADISo guRADISo guRAtIto dadAti saH
sp010-000038_SR_02	jYAnam jYAnapradAtfByo rAmam vAgrUpiRam numaH
sp010-000039_SR_02	ayanam Kalu yat tasya tad divyam tatra DAvatAm
sp010-000040_SR_02	nAsti BIH kAcanAsmAkam iti sa praBurarcyatAm
sp010-000041_SR_02	jaya jaya raGuvIra samarTa
sp010-000042_SR_02	SataSatAni SrotAra ekatrIBavanti
sp010-000043_SR_02	sarveऽpi vadanti jaya jaya raGuvIra samarTa iti
sp010-000044_SR_02	sTitiH paryavartata
sp010-000045_SR_02	AcCAditAऽBUccetana
sp010-000046_SR_02	idAnIm sannyAsI rAmAyaRakaTAm SrAvayati
sp010-000047_SR_02	praTamam sa rAvaRarAjyamavarRayat
sp010-000048_SR_02	catasfzu dikzu hAhAkAroऽSrUyata sarvatrEva anAcAraH atyAcAraH durAcAroऽdfSyanta
sp010-000049_SR_02	rAkzasA AgacCanti dAsyavamAcaranti strIrutTApyApaharanti nAsIt tezAm nirodDA kaScit
sp010-000050_SR_02	pfTivI kampitumAraBata roditi sma sA gorUpam DftvA sA brahmadevamupeyAya
sp010-000051_SR_02	soऽpi devastAm vizRulokamanayat BagavatA vizRunA ASvAsanam kftam
sp010-000052_SR_02	AgamizyAmyevAham daSaraTagfheऽvatarizyAmi duzwAn daRqayizyAmi anugrahIzyAmi ca sataH
sp010-000053_SR_02	aDarmam niroDya Darmam pratizWApayitAsmyaham
sp010-000054_SR_02	rAmaH paYcavawImaDiSiSriye manuzyaBakziRaScaturdaSasahasrAn rAkzasAn sa nyapIpatat
sp010-000055_SR_02	rAtrO dvAdaSavAdanena kaTA samAptA
sp010-000056_SR_02	SrotAraH sadBAvaBaritahfdayA gfham pratyAvarttante sma
sp010-000057_SR_02	tezAm muKeBya udgArAH svata eva niHsftA kiyAnasti praBAvo vARyAm vAksidDirastyasya
sp010-000058_SR_02	vAkpravAho gaNgApravAhatyetasya SabdAni citrARIva racayati sAkzAt
sp010-000059_SR_02	sarvErevAnvaBUyata yat tadAnIm sampUrRe BArate varze rAvaRasyEva rAjyamasti vidyamAnamiti
sp010-000060_SR_02	sannyAsino vARI satyA Bavati
sp010-000061_SR_03	rAma Agamayizyati avaSyamevAgamizyati rAma iti
sp010-000062_SR_03	UcivAnasO mahAtmA ArttAnAmasmAkamasti kAryam uccEHsvareRa Artena ca kaRWenAhvAtavyaH saH
sp010-000063_SR_03	rAme BaktimadBirBavitavyamasmABiH parasparikAH kalahAH parityAjyA Ekyam ca grAhyamiti
sp010-000064_SR_03	sannyAsino vacanam satyameva kintu kaTamidamanuzWAtum Sakyam
sp010-000065_SR_03	evaMviDAnAm mahAtmanAm vacanAnyasatyAni na Bavanti
sp010-000066_SR_03	tezAm muKeneSvara eva vakti
sp010-000067_SR_03	te hi sarvAnapi rAmasyEvAyanenAgre ninIzanti iti
sp010-000068_SR_03	evamviDAnudgArAn prakawayantaH sarve svam svam gfhamupetAH
sp010-000069_SR_03	tezAm karRezu sannyAsina eva vacanAni Dvananti Asan
sp010-000070_SR_03	sarveऽnuDvananti rAmasyAyana eva vartAmahE
sp010-000071_SR_03	tasyAm SabaryAm bahuBiH svapnA adfSyanta rAma AgacCatIti
sp010-000072_SR_03	mandirasya kfte sTAnam
sp010-000073_SR_03	dvitIyasmin dine yadA darSanArTinaH sannyAsino darSanArTamupetAH
sp010-000074_SR_03	tadA saMsyAsI sAYjaliH provAca ekAm BikzAm yAce iti
sp010-000075_SR_03	grAmasya SrezWI brUte Bavanto yadapi kaTayeyuH goDUmAH yavAH taRqulAH Gftam guqaH
sp010-000076_SR_03	ityAdikam sarvam BavatAm caraRezu sTApitam drakzyate
sp010-000077_SR_03	ekaH karzuka uvAca mama pArSve mahizyaH santi gAvo Bavanti
sp010-000078_SR_03	yAvadapIzyate tAvad dugDam daDi navanItam cAnayizye
sp010-000079_SR_03	svAmI provAca yatsatyam atraBavantaH sarveऽpyudArAH DanyavAdasya pAtrARi BavantaH
sp010-000080_SR_03	kintu mamArTe nAhamarTI kaRasyApi
sp010-000081_SR_03	arTI BavAmyaham rAmamandirasya
sp010-000082_SR_03	evaMviDa evAdeSo labDo mayA svapne
sp010-000083_SR_03	tasya kfteऽpekzyate BUmiH
sp010-000084_SR_03	tAmeva Bikzitumasti me kAmaH
sp010-000085_SR_03	vadantu BavantaH kAm vA BUmim nirDArayanti BavantastadarTamiti
sp010-000086_SR_03	BaktA sarve parasparasya muKam paSyanti bruvanti ca
sp010-000087_SR_03	avaSyamaham pradAtA kintu sEva BUmirasti me parivArasyASrayaH
sp010-000088_SR_03	avaSyamaham pradAtA kintu mama BUmirnitarAm dUreऽsti
sp010-000089_SR_03	avaSyamaham pradAtA kintu mama BUmirastyatyantamurvarA
sp010-000090_SR_03	avaSyamaham pradAtA kintu mama BUmirastyatyantam laGuH
sp010-000091_SR_04	idAnIm grAmapramuKoऽvocat svAmin sarveऽpyatratyA vayam kfzi samASritA BavAmaH
sp010-000092_SR_04	atra annapradAm svIyAm BUmimasmAsu nAsti kaScanApi dAtum kzamaH
sp010-000093_SR_04	kintu yadi SrIcaraRA aprasannA na Baveyustarhi nivedayitumicCAmi kiYcit
sp010-000094_SR_04	svAmI brUte saprasAdam kaTayatu BavAn iti
sp010-000095_SR_04	praDAnenAvoci samakze vidyate mARqanadyAH pravAhaH asya dvitIye tawe eko mahAn mAlaH wIlA dfSyate
sp010-000096_SR_04	sa hi sAmpratam nAsti kasmEcanApi prayojanAya
sp010-000097_SR_04	SmaSAnaBUmiriyamAsIdasyEva grAmasya
sp010-000098_SR_04	yadi roceta tAmaDigfhRantvAryA rAmamandirAyeti
sp010-000099_SR_04	svAmI saprasAdamuvAca sADu sADu itoऽDikamucitA kA vA Baved BUmiH
sp010-000100_SR_04	SmaSAna eva tu sadEva vasati BagavAn SivaH nityam rAmanAma japati saH
sp010-000101_SR_04	te hi rAmasya aBinandanamavaSyameva kuryuH
sp010-000102_SR_04	BaktavareRa tulasIdAsena yaduktam tajjAnIyureva BavantaH
sp010-000103_SR_04	asmin prabanDeऽsti raGupravIranAmAtyudAram paripAvanam ca
sp010-000104_SR_04	yasminnumeSo nivasatyumAKyAn dArAn daDAnaH Siva eva sAkzAt iti
sp010-000105_SR_04	vasanti sarvARi ca maNgalAni nAmnIha nAmaNgalamatra kiYcit
sp010-000106_SR_04	japannajasram BagavAnidam hi rArAjyate kAmaripuH sa SamBuH
sp010-000107_SR_04	rAmapraBAvAd vizamatti devaH sadASivaH kiYca Palam suDAyAH
sp010-000108_SR_04	nAmapraBAvAd Siva eza sAkzAnmftyuYjayaScAsmyavinaSvaraSca
sp010-000109_SR_04	amaNgalam yasya parIkaroऽsti parantu yo hanti vimaNgalAni
sp010-000110_SR_04	evameva rAmamandireRa SmaSAnaBUmirapyatyantamaNgalam nandanavanam BavitrI
sp010-000111_SR_04	asyAm rAme samAyAte asmAkam sUtrapAto Bavizyati krAnteH
sp010-000112_SR_04	ehi sarve militvA praBuBajanam gAyema
sp010-000113_SR_04	kuru kalyARam he rAma rAjan
sp010-000114_SR_04	janahitamiha kaTamivAऽnyaTA syAt
sp010-000115_SR_04	matsyo jalam vinA vihvalo yaTA
sp010-000116_SR_04	taTEva sameऽpi vihvalA amI vayam kfpaRAH
sp010-000117_SR_05	SaraRamupetA vayam sameऽpi BavantamekamudAram
sp010-000118_SR_05	tvamasi pitAऽsi jananyapi kim no
sp010-000119_SR_05	kfcCram kfcCrataram vA
sp010-000120_SR_05	Bagavan tvamasi kevalaH SAmyan kutra yAma karavAma kim praBo
sp010-000121_SR_05	matO na yAti samezAm vakti dAsa iha dayAmeDatAm tvayi prayAte Bagavan manoraTA naH sidDAH
sp010-000122_SR_05	kuru kalyARam
sp010-000123_SR_05	nirmitam mandiram
sp010-000124_SR_05	anyasminneva dine sannyAsI druGRA kulhAqI hastaH SmaSAnaBUmO dadfSe
sp010-000125_SR_05	sa drumA~Scakartta
sp010-000126_SR_05	pratyaBAd yat BagavAn paraSurAma eva sAkzAdupasTitaH
sp010-000127_SR_05	gAScArayanto yadA tam dadfSuH teऽtyantam Akfzyanta
sp010-000128_SR_05	teऽpfcCan svAminaH kimatra kurvantyAryAH iti
sp010-000129_SR_05	yadA svAminA prAvoci atra nirmAsyate mandiram Bagavato rAmasyeti
sp010-000130_SR_05	tadA sarveऽpi gopAH prasannAntaraNgA udacCalan uktavantaste jayoऽstu svAminAm
sp010-000131_SR_05	vadantvatra BavantaH kimatra karaRIyamastyasmAkam bahukara buhArI JAqU kAryam asmaByam tyajyatAm
sp010-000132_SR_05	te sarve svasvAni druGRAnyAnayan
sp010-000133_SR_05	taTEva kuddAlAdikAnyupakaraRAni
sp010-000134_SR_05	atIvotsAhinaSca pariSramamakurvan
sp010-000135_SR_05	praTame dine viMSatirjanA paryaSrAmyan dvitIye divase grAmasyAnyeऽpi yuvAna AgatAH
sp010-000136_SR_05	tadA zazwirjanA kAryamakurvan tftIye divase janAnAm SatadvayI upasTitA svIyErupakaraREH saha
