sp019-000001_lahari_2	BAvanA kIdfSI tasya
sp019-000002_lahari_2	kamalA atIva utsAhavatI AsIt tasmin dine
sp019-000003_lahari_2	tayA udyogo labDaH
sp019-000004_lahari_2	itaHparam tayA sadA pituH jyezWaBrAtuH vA avalambanam na kAryam Bavati DanAya
sp019-000005_lahari_2	alpAnAm AvaSyakatAnAm kfteti pitaH Satam rUpyakARi dehi iti vA
sp019-000006_lahari_2	BrAtaH kim rUpyakARAm paYcaSatam dAtumarhasi iti vA
sp019-000007_lahari_2	vaktavyam na Bavati
sp019-000008_lahari_2	itaHparam sA na kevalam svayam yaTecCam vyayitumarhati
sp019-000009_lahari_2	kintu gfhArTe apekzitAni vastUni krItvA Anetumapi
sp019-000010_lahari_2	mAtre dukUlam ekam krItvA dAsyAmi praTamamAsasya vetanena iti sA acintayat
sp019-000011_lahari_2	AtmAnam samyak alaNkftya uttamam vasanam vasanA kamalA pitarO vanditvA kAryAlayam gatA
sp019-000012_lahari_2	kAryAlayo mahAn vEBavopetaSca
sp019-000013_lahari_2	videSIyAnAm tantrAMSasya kAryAlayaH
sp019-000014_lahari_2	tatra kati udyoginaH
sp019-000015_lahari_2	kiyat kAryam
sp019-000016_lahari_2	bahvyaH mahilASca tasyAH viBAge Asan
sp019-000017_lahari_2	tAsAm vastraDAraRavEKarI vAgvilAsaH calanam valanam dakzatA iti ekEkoऽpi guRaH kamalAm vismAyayati sma
sp019-000018_lahari_2	kintu sOndaryadfzwyA tu sEva utkfzwA iti spazwam AsIt
sp019-000019_lahari_2	sahodyoginaH yuvAnaH taruRyaH ca tAm sAsUyam paSyanti sma
sp019-000020_lahari_2	BAzaRakalAyAmapi kamalA caturA
sp019-000021_lahari_2	svIyam kAryam ca mano niDAya karoti sma sA
sp019-000022_lahari_2	ataH sarvezAm AkarzaRakendram jAtA sA katipayEH eva divasEH
sp019-000023_lahari_2	praTamam vetanam prApya mAtre dukUlam pitre aNgavastram BrAtre SrezWAm leKanIm BrAtfjAyE aNgarAgapewikAm ca upahftavatI sA
sp019-000024_lahari_2	sarve santozanirBarAH aBavan
sp019-000025_lahari_2	saMsTAyAH nirdeSakAH videSAt AgatAH
sp019-000026_lahari_2	tezAm svAgatam kAryAlayasya sundarIBiH kartavyam iti aDikAriBiH niScitam
sp019-000027_lahari_2	taTA vicitAsu kanyAsu kamalA eva pramuKA
sp019-000028_lahari_2	tayA praDAnanirdeSakAya kusumagucCam pradeyam svAgatavelAyAm iti nirDAraH kftaH
sp019-000029_lahari_2	svAgatasamAramBaH susampannaH
sp019-000030_lahari_2	kamalayA arpitam puzpagucCam svIkftya praDAnanirdeSakaH atitamam santuzwaH aBUt
sp019-000031_lahari_2	sarveऽpi samAramBAnantaram kamalAm aBinanditavantaH
sp019-000032_lahari_2	viSezato gopAlakfzRAKyaH aDikArI
sp019-000033_lahari_2	tata AraBya gopAlakfzRaH kamalAyAm aDikam sneham darSayitumArabDavAn
sp019-000034_lahari_2	maDyAhnaBojanam udyoginaH kAryAlayasya BojanaSAlAyAm svIkurvanti sma
sp019-000035_lahari_2	aDikAriRastu sIye eva prakozWe
sp019-000036_lahari_2	gopAlakfzRaH kamalAm svaprakozWe eva Bojanam svIkartum Ahvayat
sp019-000037_lahari_2	yadyapi sA nEcCat taTApi ucCAdikAriRaH vAkyam na nirAkaraRIyamiti sA aNgIkftavatI
sp019-000038_lahari_2	tadanantaram tasyAH sahodyoginyaH tAm BinnayA dfzwyA drazwum AraBanta
sp019-000039_lahari_2	reKAnAmnI kAcana abravIt
sp019-000040_lahari_2	ayi kamale tvam viSizwAnugrahasya BAjanamasi
sp019-000041_lahari_2	anuBavAnandam SIGram udyoginonnatim api prApsyasIti tarkayAmi
sp019-000042_lahari_2	kamalA kopavatI aBUt
sp019-000043_lahari_2	mA vada kimapi
sp019-000044_lahari_2	aDikArivAkyam na nirAkaraRIyamiti adya aham tatra Bojanam kftavatI
sp019-000045_lahari_2	tatra koऽpi anyaH arTaH na kalpanIyaH tvayA
sp019-000046_lahari_2	iti sA avadat reKAm
sp019-000047_lahari_2	sA soprAsam hasitvA drakzyAmaH parastAt iti uktavatI
sp019-000048_lahari_2	kamalA KinnA aBavat
sp019-000049_lahari_2	tUzRIm gfham gatA
sp019-000050_lahari_2	paredyuH gopAlakfzRaH punaH BojanAya Ahvayat
sp019-000051_lahari_2	kim kartavyam iti kamalAyAm cintAparAyAm reKApraBftayaH parasparam smitAnAm vinimaye niratAH
sp019-000052_lahari_2	mamAdya anAmayam nAsti
sp019-000053_lahari_2	Bojane AsaktiH eva nAsti kzantavyAsmi iti vyAjena kamalA gopAlakfzRasya AhvAnam parihftavatI
sp019-000054_lahari_2	tataH kamalA cintA grastA
sp019-000055_lahari_2	ayam mahAnuBAvaH mayi kasmAdevam darSayati Asaktim
sp019-000056_lahari_2	mAm kasmAt saKInAm apahAsasya BAjanam karoti
sp019-000057_lahari_2	iti cintAsantatiH tAm abAData
sp019-000058_lahari_2	anyeByo kAcit sahodyoginI tAm rahaH AhUya uktavatI
sp019-000059_lahari_2	kamale aham tava hitEziRI anyaTA tava BAvanA mAstu
sp019-000060_lahari_2	ete aDikAriRaH na viSvAsArhAH
sp019-000061_lahari_2	gopAlakfzRaH tvAm atyAsaktyA vIkzamARaH mayA dfzwaH
sp019-000062_lahari_2	tvayA jAgarUkayA Bavitavyam
sp019-000063_lahari_2	sa vivAhitaH
sp019-000064_lahari_2	tasya BAryA asti putrO ca staH
sp019-000065_lahari_2	etAdfSaH na jAne kaTam tvayi Asaktim nirlajjatayA darSayati iti
sp019-000066_lahari_2	maDurEH vacanEH vaYcitA mA sma BUH iti
sp019-000067_lahari_2	kamalAyAH netrayoH aSrURi adfSyanta
sp019-000068_lahari_2	kftajYatAsmi hitavacanAya mama tasmin kApi AsaktiH nAsti
sp019-000069_lahari_2	uccADikArI iti hetoH tadvacanam nirAkartum biBemi
sp019-000070_lahari_2	itaHparam tu kenApi upAyena taddarSanam pariharizyAmi iti uktvA
