sp018-000001_001	aTa azwamoऽDyAyaH
sp018-000002_001	te brahma tadviduH kftsnam ityAdinA BagavatA arjunasya praSnabIjAni upadizwAni
sp018-000003_001	ataH tatpraSnArTam arjunaH uvAca
sp018-000004_001	ezAm praSnAnAm yaTAkramam nirRayAya SrIBagavAn uvAca
sp018-000005_001	akzaram na kzaratIti akzaram paramAtmA
sp018-000006_001	etasya vA akzarasya praSAsane gArgi iti SruteH
sp018-000007_001	oNkArasya ca omityekAkzaram brahma iti pareRa viSezaRAt agrahaRam
sp018-000008_001	paramam iti ca niratiSaye brahmaRi akzare upapannataram viSezaRam
sp018-000009_001	tasyEva parasya brahmaRaH pratideham pratyagAtmaBAvaH svaBAvaH
sp018-000010_001	svo BAvaH svaBAvaH aDyAtmam ucyate
sp018-000011_001	AtmAnam deham aDikftya pratyag AtmatayA pravfttam paramArTabrahmAvasAnam vastu svaBAvaH aDyAtmam ucyate
sp018-000012_001	aDyAtmaSabdena aBiDIyate
sp018-000013_001	BUtaBAvodBavakaraH BUtAnAm BAvaH BUtaBAvaH
sp018-000014_001	tasya udBavaH BUtaBAvodBavaH
sp018-000015_001	tam karoti iti BUtaBAvodBavakaraH
sp018-000016_001	BUtavastUtpattikara ityarTaH
sp018-000017_001	visargaH visarjanam devatoddeSena carupuroqASAdeH dravyasya parityAgaH
sp018-000018_001	sa eza visargalakzaRo yajYaH karmasaYjYitaH karmaSabdita ityetat
sp018-000019_001	etasmAt hi bIjaBUtAt vfzwyAdikrameRa sTAvarajaNgamAni BUtAni udBavanti
sp018-000020_001	aDiBUtam prARijAtam aDikftya Bavati iti
sp018-000021_001	koऽsO kzaraH kzaratIti kzaraH vinASI
sp018-000022_001	BAvaH yatkiYcit janimat vastu ityarTaH
sp018-000023_001	puruzaH pUrRam anena sarvamiti puri SayanAt vA
sp018-000024_001	puruzaH AdityAntargato hiraRyagarBaH
sp018-000025_001	sarvaprARikaraRAnAm anugrAhakaH saH aDidEvatam
sp018-000026_001	aDiyajYaH sarvayajYABimAninI vizRvAKyA devatA
sp018-000027_001	yajYo vE vizRuH iti SruteH
sp018-000028_001	sa hi vizRuH aham eva
sp018-000029_001	atra asmin dehe yo yajYaH tasya aham aDiyajYaH
sp018-000030_001	yajYo hi dehanirvartyatvena dehasamavAyI iti dehADikaraRo Bavati dehaBftAm vara
sp018-000031_001	antakAle maraRakAle ca mAmeva parameSvaram vizRum smaran muktvA
sp018-000032_001	parityajya kalevaram SarIram yaH prayAti gacCati saH madBAvam vEzRavam tattvam yAti
sp018-000033_001	na asti na vidyate atra asmin arTe saMSayaH yAti vA na vA iti
sp018-000034_001	na madvizaya eva ayam niyamaH
sp018-000035_001	yam yam vApi yam yam BAvam devatAviSezam smaran cintayan tyajati parityajati
sp018-000036_001	ante antakAle prARaviyogakAle kalevaram SarIram
sp018-000037_001	tam tameva smftam BAvam eva eti na anyam kOnteya
sp018-000038_001	sadA sarvadA tadBAvaBAvitaH tasmin BAvaH tadBAvaH
sp018-000039_001	sa BAvitaH smaryamARatayA aByastaH yena saH tadBAvaBAvitaH san
sp018-000040_001	yasmAt evam antyA BAvanA dehAntaraprAptO kAraRam
sp018-000041_001	tasmAt sarvezu kAlezu mAm anusmara yaTASAstram
sp018-000042_001	yuDya ca yudDam ca svaDarmam kuru
sp018-000043_001	mayi vAsudeve arpite manobudDI yasya tava
sp018-000044_001	sa tvam mayi arpitamanobudDiH san
sp018-000045_001	mAmeva yaTAsmftam ezyasi Agamizyasi
sp018-000046_001	asaMSayaH na saMSayaH atra vidyate
sp018-000047_001	aByAsayogayuktena mayi cittasamarpaRavizayaBUte ekasmin
