sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-000002_RV_03	samprati garBalakzaRAni varRayitum prastOti
sp003-000003_RV_03	aTeti
sp003-000004_RV_03	aTa garBaDAraRAnantaram sudakziRA
sp003-000005_RV_03	upasTitodayam prAptakAlam BartuH dilIpasya Ipsitam manoraTam
sp003-000006_RV_03	BAve ktaH
sp003-000007_RV_03	punaH saKIjanasya udvIkzaRAnAm dfzwInAm kOmudImuKam candrikAprAdurBAvam
sp003-000008_RV_03	yadvA kOmudI nAma dIpotsavatiTiH
sp003-000009_RV_03	taduktam Bavizyottare kO modante janAH yasyAm tena asO kOmudI matA iti
sp003-000010_RV_03	tasyAH muKam prAramBam
sp003-000011_RV_03	saKIjanodvIkzaRakOmudI iti pAWam kecitpaWanti
sp003-000012_RV_03	ikzvAkukulasya santateH avicCedasya nidAnam mUlakAraRam
sp003-000013_RV_03	nidAnam tvAdikAraRam ityamaraH
sp003-000014_RV_03	evam viDam dOhfdalakzaRam garBacihnam vakzyamARam daDO
sp003-000015_RV_03	svahfdayena garBahfdayena ca dvihfdayA garBiRI
sp003-000016_RV_03	yaTAha vAgBawaH mAtfjam hyasya hfdayam mAtuSca hfdayam tu tat
sp003-000017_RV_03	sambadDam tena garBiRyAH SrezWam SradDABimAnanam iti
sp003-000018_RV_03	tatsambanDitvAt garBaH dOhfdam ityucyate
sp003-000019_RV_03	sA ca tadyogAt dOhfdinI iti
sp003-000020_RV_03	taduktam saNgrahe dvihfdayAm nArIm dOhfdinIm Acakzate iti
sp003-000021_RV_03	atra dOhfdalakzaRasya Ipsitatvena kOmudImuKatvena ca nirUpaROt rUpakAlaNkAraH
sp003-000022_RV_03	asminsarge vaMSasTam vfttam jatO tu vUMSasTamudIritam jarO iti lakzaRAt
sp003-000023_RV_03	samprati kzAmatAKyam garBalakzaRam darSayati SarIreti
sp003-000024_RV_03	SarIrasya sAdAt kArSyAt asamagraBUzaRA parimitABaraRA loDrapuzpeReva pARqunA muKena upalakzitA sA sudakziRA
sp003-000025_RV_03	viceyAH mfgyAH tArakAH yasyAm sA taToktA
sp003-000026_RV_03	viralanakzatrA ityarTaH
sp003-000027_RV_03	tanuprakASena alpakAntinA SaSinA upalakzitA IzadasamAptApraBAtA praBAtakalpA
sp003-000028_RV_03	praBAtAt IzadUnA ityarTaH
sp003-000029_RV_03	tasilAdizvA kftvasucaH iti praBAtaSabdasya puMvadBAvaH
sp003-000030_RV_03	SarvarI rAtririva
sp003-000031_RV_03	alakzyata
sp003-000032_RV_03	SarIrasAdAdigarBalakzaRamAha vAgBawaH kzAmatA garimA kukzeH mUrcCA CardiH arocakam
sp003-000033_RV_03	jfmBA prasekaH sadanam romarAjyAH prakASanam iti
sp003-000034_RV_03	taditi
sp003-000035_RV_03	kzitISvaraH rahasi mftsuraBi mfdA suganDi tasyAH Ananam tadAnanam sudakziRAmuKam upAGrAya tfptim na AyayO
sp003-000036_RV_03	kaH kamiva
sp003-000037_RV_03	SucivyapAye grIzmAvasAne
sp003-000038_RV_03	SuciH SudDeऽnupahate SfNgArAzAQayoH site
sp003-000039_RV_03	grIzme hutavaheऽpi syAt upaDASudDamantriRi
sp003-000040_RV_03	iti viSvaH
sp003-000041_RV_03	payomucAm meGAnAm pfzatEH binduBiH
sp003-000042_RV_03	pfzanti bindupfzatAH ityamaraH
sp003-000043_RV_03	siktam ukzitam vanarAjyAH palvalam upAGrAya karI gaja iva
sp003-000044_RV_03	atra karivanarAjipalvalAnAm kAntakAminIvadanasamADiH anusanDeyaH
sp003-000045_RV_03	garBiRInAm mfdBakzaRam lokaprasidDameva
sp003-000046_RV_03	etena dohadAKyam garBalakzaRam ucyate
sp003-000047_RV_03	dohfdalakzaRe mfdBakzaRe hetvantaram utprekzate divamiti
sp003-000048_RV_03	hi yasmAt digantaviSrAntaraTaH cakravartI tasyAH sutaH tatsutaH
sp003-000049_RV_03	marutvAn indraH
sp003-000050_RV_03	indro marutvAnmaGavA ityamaraH
sp003-000051_RV_03	divam svargam iva
sp003-000052_RV_03	Buvam Bokzyate
sp003-000053_RV_03	Bujo anavane ityAtmanepadam
sp003-000054_RV_03	ataH praTamam sA sudakziRA taTAviDe BUvikAre mfdrUpe
sp003-000055_RV_03	aBilazyata ityaBilAzaH Bogyavastu
sp003-000056_RV_03	tasmin
sp003-000057_RV_03	karmaRi GaYpratyayaH
sp003-000058_RV_03	rasyante svAdyante iti rasAH BogyArTAH
sp003-000059_RV_03	anye ca te rasASca tAnvilaNGya vihAya manaH babanDa
sp003-000060_RV_03	vidaDO ityarTaH
sp003-000061_RV_03	dohadahetukasya mfdBakzaRasya putraBUBogasUcanArTatvam utprekzate
sp003-000062_RV_03	neti
sp003-000063_RV_03	magaDasya rAjYaH apatyam strI mAgaDI sudakziRA
sp003-000064_RV_03	dvyaYmagaDakaliNgasUramasAt aR ityaRpratyayaH
sp003-000065_RV_03	hriyA kiYcit kimapi Ipsitam izwam me mahyam na SaMsati na Acazwe
sp003-000066_RV_03	kezu vastuzu spfhAvatIti anuvelam anukzaRam AdftaH AdftavAn
sp003-000067_RV_03	kartari ktaH
sp003-000068_RV_03	AdftO mAdarArcitO ityamaraH
sp003-000069_RV_03	priyAyAH saKIH sahacarIH uttarakosaleSvaraH dilIpaH pfcCati sma papracCa
sp003-000070_RV_03	law sme ityanena BUtArTe law
sp003-000071_RV_03	saKInAm viSramBaBUmitvAt iti BAvaH
sp003-000072_RV_03	upetyeti
sp003-000073_RV_03	dohadam garBiRImanoraTaH
sp003-000074_RV_03	dohadam dOhfdam SradDA lAlasam ca samam smftam iti halAyuDaH
sp003-000075_RV_03	sA sudakziRA dohadena garBiRImanoraTena duHKaSIlatAm duHKasvaBAvatAm
sp003-000076_RV_03	upetya prApya yadvastu vavre AcakANkza tadAhftam AnItam
sp003-000077_RV_03	BartrA iti SezaH
sp003-000078_RV_03	apaSyadeva
sp003-000079_RV_03	alaBata ityarTaH
sp003-000080_RV_03	kutaH
sp003-000081_RV_03	hi yasmAt asya BUpateH tridive api svarge api izwam vastu anAsAdyam anavApyam nABUt
sp003-000082_RV_03	kim yAcYayA
sp003-000083_RV_03	na ityAha aDijyaDanvanaH iti
sp003-000084_RV_03	na hi vIrapatnInAm alaByam nAma kiYcit astIti BAvaH
sp003-000085_RV_03	atra vAgBawaH pAdaSoPo vidAhoऽnte SradDA ca viviDAtmikA iti
sp003-000086_RV_03	etacca patnImanoraTapUraRa akaraRe dfzwadozasamBavAt
sp003-000087_RV_03	na tu rAjYaH prItilOlyAt
sp003-000088_RV_03	taduktam deyamapyahitam tasyE hitopahitamalpakam
sp003-000089_RV_03	SradDAviGAte garBasya vikftiH cyutireva vA
sp003-000090_RV_03	anyatra ca dohadasyApradAnena garBo dozam avApnuyAt iti
sp003-000091_RV_03	krameReti
sp003-000092_RV_03	sA sudakziRA krameRa dohadavyaTAm ca nistIrya pracIyamAnAvayavA puzyamARAvayavA satI
sp003-000093_RV_03	purARapatrARAm apagamAt nASAt anantaram sannadDAH saYjAtAH pratyagratvAt manojYAH pallavAH yasyAm sA latA iva
sp003-000094_RV_03	rarAja
sp003-000095_RV_03	lakzaRAntaram varRayati dinezvati
sp003-000096_RV_03	dinezu dohadadivasezu gacCatsu satsu nitAntapIvaram atisTUlam
sp003-000097_RV_03	A samantAt nIle muKe cUcuke yasya tat
sp003-000098_RV_03	tadIyam stanadvayam
sp003-000099_RV_03	BramarEH aBilInayoH aBivyAptayoH sujAtayoH sundarayoH paNkajakoSayoH padmamukulayoH Sriyam tiraScakAra
sp003-000100_RV_03	atra vAgBawaH amlezwatA stanO pInO SvetAntO kfzRacUcukAviti
sp003-000101_RV_03	viDAneti
sp003-000102_RV_03	nfpaH sasattvAm ApannasattvAm
sp003-000103_RV_03	garBiRImityarTaH
sp003-000104_RV_03	ApannasattvA syAdgurviRyantarvatnI ca garBiRI ityamaraH
sp003-000105_RV_03	mahizIm
sp003-000106_RV_03	niDAnam niDiH garBe yasyAH tAm sAgarAmbarAm samudravasanAm
sp003-000107_RV_03	BUmimivetyarTaH BUtaDAtrI ratnagarBA jagatI sAgarAmbarA iti koSaH
sp003-000108_RV_03	aByantare lInaH pAvakaH yasyAH tAm SamIm iva
sp003-000109_RV_03	SamItarO vahnirasItyatra liNgam SamIgarBAdagnim janayatIti
sp003-000110_RV_03	antaHsalilAm antargatajalAm sarasvatIm nadIm iva
sp003-000111_RV_03	amanyata
sp003-000112_RV_03	etena garBasya BAgyavattvatejasvitapAvanatvAni vivakzitAni
sp003-000113_RV_03	priyeti
sp003-000114_RV_03	DIraH saH rAjA priyAyAm anurAgasya manasaH samunnateH OdAryasya
sp003-000115_RV_03	Bujena Bujabalena kareRa vA arjitAnAm
sp003-000116_RV_03	na tu vARijyAdinA
sp003-000117_RV_03	digantezu sampadAm
sp003-000118_RV_03	DfteH putro me BAvizyatIti santozasya ca DftiryogAntare DErye DAraRADvaratuzwizu iti viSvaH
sp003-000119_RV_03	sadfSIH anurUpAH
sp003-000120_RV_03	pumAnsUyate aneneti puMsavanam
sp003-000121_RV_03	tadAdiH yAsAm tAH kriyAH yaTAkramam kramam anatikramya vyaDatta kftavAn
sp003-000122_RV_03	AdiSabdena anavaloBanasImantonnayane gfhyete
sp003-000123_RV_03	atra mAsi dvitIye tftIye vA puMsavanam
sp003-000124_RV_03	yadA puMsA nakzatreRa candramA yuktaH syAt iti pAraskaraH
sp003-000125_RV_03	caturTeऽnavaloBanam ityASvalAyanaH
sp003-000126_RV_03	zazWe azwame vA sImantonnayam iti yAjYavalkyaH
sp003-000127_RV_03	surendreti
sp003-000128_RV_03	gfhAgataH nfpaH surendrARAm lokapAlAnAm mAtrABiH aMSEH ASritasya anupravizwasya garBasya gOravAt BArAt prayatnena muktAsanayA
