sp021-000001_01	BaktaH kulaSeKaraH
sp021-000002_01	harinArAyaRaH keralam
sp021-000003_01	cerarAjyasya rAjA kulaSeKaraH atyantam ISvaraBaktaH
sp021-000004_01	pratidinam harikaTASravaRe tatparaH Bavati sma saH
sp021-000005_01	harikaTAm SrAvayitum saH kamapi paRqitam svakIyaprAsAdam prati AnAyayati sma
sp021-000006_01	tasmE paRqitAya yaTA yogyam upAyanam api dadAti sma
sp021-000007_01	rAjYaH etAdfSI pravfttiH rAjYyE na rocate sma
sp021-000008_01	amAtyaH api rAjYaH vizaye asantuzwaH AsIt
sp021-000009_01	tO uBO api militvA niScitavantO yat rAjYaH harikaTASravaRe
sp021-000010_01	ekadA rAmAyaRasaptAhaH ArabDaH
sp021-000011_01	antime dine rAjA paRqitAya amUlyAni ratnAni dattavAn
sp021-000012_01	tat sarvam svIkftya paRqitaH svagfham gantum udyataH
sp021-000013_01	tadavasare kaScana BawaH Agatya uktavAn SrIrAmavigrahasTaH amUlyaH hAraH na dfSyate iti
sp021-000014_01	etat SrutvA sarve AScaryeRa stabDAH jAtAH
sp021-000015_01	rAma vigrahaH yatra syAt tam prakozWam svayam rAjA amAtyaH paRqitaH ceti trayaH eva pravizwavantaH Asan
sp021-000016_01	aham hAram na spfzwavAn eva
sp021-000017_01	BavantaH mama dehasya pariSoDanam kartum arhanti iti uccEH avadat amAtyaH
sp021-000018_01	tataH BawAH tasya dehasya pariSoDanam kftavantaH
sp021-000019_01	kintu tatra kimapi na labDam
sp021-000020_01	rAjYA vAritaH api paRqitaH avadat
sp021-000021_01	mamApi pariSoDanam kartum arhanti BavantaH
sp021-000022_01	rAjYA datteByaH ABaraReByaH fte matsamIpe anyat kimapi nAsti iti
sp021-000023_01	amAtyaH svayam agre Agatya paRqitasya pariSoDanam kftavAn
sp021-000024_01	AScaryam nAma tasya syUte SrIrAmavigrahasTaH hAraH prAptaH
sp021-000025_01	etat dfzwvA sarve diBrAntAH jAtAH
sp021-000026_01	etAdfSasya cOryasya daRqaH kaH iti mantrI gurum apfcCat
sp021-000027_01	kAlasarpadaMSaH eva dAtavyaH iti guruRA uktam
sp021-000028_01	evam tarhi kAlasarpaH AnIyatAm iti AjYAm kftavAn amAtyaH
sp021-000029_01	BawAH gatvA kAlasarpam Gawe nikzipya AnItavantaH
sp021-000030_01	ISvaro rakzatu iti uktvA paRqitaH Gawe hastam nikzeptum udyuktaH
sp021-000031_01	kintu tAvatA rAjA agre Agatya BavAn me atiTiH
sp021-000032_01	BavataH jIvanarakzaRam mama kartavyam iti uktvA Gawe svayam hastam praveSitavAn
sp021-000033_01	etat dfzwvA sarve hAhAkAram kftavantaH
sp021-000034_01	vismayaH nAma rAjYaH karasparSena sarpaH svayam bahiH AgatavAn na tu tam dazwavAn
sp021-000035_01	etat vilokya sarve vismitAH jAtAH
sp021-000036_01	rAjA api svayam BagavataH kAruRyam dfzwvA virakto BUtvA
sp021-000037_01	rAjyaBAram svaputrAya dattvA paRqitena sAkam gatavAn
sp021-000038_01	saH anantarakAle BaktaH kulaSeKaraH iti KyAtaH jAtaH
sp021-000039_02	ASayaH tu itTam
sp021-000040_02	pUrvam kaScana nirISvaravAdI AsIt
sp021-000041_02	BagavAn budDaH tam upasarpya devaH sarvatra asti
sp021-000042_02	saH eva jagataH kartA sarvasya kArayitA ca
sp021-000043_02	ataH tasmin SradDA karaRIyA iti aboDayat
sp021-000044_02	anyadA kadAcit pUjayA eva samagram dinam yApayantam kaYcit saH upAdiSat
sp021-000045_02	BoH kim etAdfSyA pUjayA parityajyatAm
sp021-000046_02	janAnAm sevAm kuru
sp021-000047_02	dInezu devam paSya iti
sp021-000048_02	uBayaprasaNge api SizyaH AnandaH pArSve eva AsIt
sp021-000049_02	kimarTam AcAryaH evam vadati
sp021-000050_02	kvacit saH vadati deve SradDA karaRIyA iti
sp021-000051_02	punaH kadAcit saH upadiSati
sp021-000052_02	etasya kim tAtparyam iti AcAryaH prazwavyaH iti yAvat saH cintayan AsIt
sp021-000053_02	tAvatA kaScana SizyaH Agatya budDam apfcCat
sp021-000054_02	Bagavan devasya astitvavizaye janAH parasparavirudDam ASayam prakawayanti
sp021-000055_02	kfpayA BavAn vadatu devaH asti uta na iti
sp021-000056_02	kasmiMScit kArye magnaH budDaH kimapi uttaram na uktavAn eva
sp021-000057_02	saH SizyaH kiYcitkAlam yAvat pratIkzAm kftvA api uttaram aprApya tataH nirgatavAn
sp021-000058_02	kiYcidanantaram AnandaH tam apfcCat
sp021-000059_02	AcArya BagavAn asti iti kadAcit BavAn vadati
sp021-000060_02	BagavataH pUjA mAstu ityapi BavAn vadati
sp021-000061_02	BagavataH astitvasya vizaye yadA kaScana SizyaH prazwum AgataH tadA BavatA kimapi uttaram na dattam
sp021-000062_02	kimarTam evam iti
sp021-000063_02	tadA budDaH vihasya avadat praTamaH tu nirISvaravAdI AsIt
sp021-000064_02	ataH eva mayA saH boDitaH
sp021-000065_02	Bagavati avaSyam viSvAsaH karaRIyaH iti
sp021-000066_02	dvitIyaH tu anDaSradDAyAH dAsaH AsIt
sp021-000067_02	ataH mayA saH sUcitaH
sp021-000068_02	devaH samagre jagati Bavati na tu vigrahamAtre iti tena avagantavyam AsIt
sp021-000069_02	ataH mayA saH taTA uktaH
sp021-000070_02	tftIyaH tu saMSayAtmA
sp021-000071_02	anyezAm vacanezu SradDAm karoti saH
sp021-000072_02	devaH asti vA na vA iti tena svaprayatnena jYAtavyam AsIt
sp021-000073_02	ataH eva mayA tasya praSnasya uttaram na dattam
sp021-000074_03	guREH eva SoBate janaH
sp021-000075_03	ratnAkarataraNgaH
sp021-000076_03	candraguptaH magaDasAmrAjyasya rAjA
sp021-000077_03	ekadA saH praDAnAmAtyena AcAryacARakyena saha prAsAdagavAkzasya pArSve upaviSya
sp021-000078_03	samBAzaRam kurvan AsIt
sp021-000079_03	samBAzaRAvasare saH cARakyam dfzwvA mandahAsam prakawayan avadat
sp021-000080_03	amAtyavarya BavAn budDimAn kuSalaSca iti tu satyameva
sp021-000081_03	kintu iti
sp021-000082_03	kintu iti kimarTam arDoktiH
sp021-000083_03	yat manasi syAt tat ucyatAm cARakyaH avadat
sp021-000084_03	candraguptaH kaTane anutsAham darSayan
sp021-000085_03	mAstu AcArya tyajyatAm ayam vicAraH iti avadat
sp021-000086_03	punarapi cARakyena anuroDapUrvakam yadA uktam tadA candraguptaH akaTayat
sp021-000087_03	SrIman BavAn kuSalaH budDimAn ca kintu na rUpavAn iti
sp021-000088_03	syAt nAma etat
sp021-000089_03	kintu rUpamAtreRa kiMvA Bavet
sp021-000090_03	gAmBIryeRa apfcCat cARakyaH
sp021-000091_03	rUpam eva praSasyate loke
sp021-000092_03	rUpavezAdikam dfzwvA eva Kalu Adaram anAdaram vA darSayanti janAH iti avadat candraguptaH
sp021-000093_03	tasya vacanam SrutvA cARakyaH pratyuttaram kimapi avadan
sp021-000094_03	BawadvArA pAkagfhAt dvO GawO AnAyitavAn
sp021-000095_03	tayoH ekaH suvarRasya aparaSca mfdaH
sp021-000096_03	dvayorapi kumBayoH jalam pUrayitvA cARakyaH rAjasamakzam AnItavAn
sp021-000097_03	AdO suvarRamaye Gawe sTitam jalam rAjYe dattam
sp021-000098_03	tat kiScit pItvA asantozam prakawayan candraguptaH
sp021-000099_03	aho etat tu uzRam jalam SItalam jalam dIyatAm iti Bawam AdiSat
sp021-000100_03	kim punarapi suvarRaGawasTam evam jalam dIyatAm iti Bawam vadeyam cARakyaH apfcCat
sp021-000101_03	mAstu mftkumBasTam jalam dadAtu nAma saH
sp021-000102_03	mfdGawasTam jalam Bavati SItalam rAjA avadat
sp021-000103_03	kim suvarRaGawaH na sundaraH
sp021-000104_03	tAvatA rAjYA avagatam yat yaTA sundare suvarRaGawe api sTitam jalam uzRam
sp021-000105_03	asundare mfdGawe sTitam jalam ca SItalam
sp021-000106_03	taTA janAH guREH SoBante na tu sOndaryeRa iti
sp021-000107_03	ataH saH cARakyam kzamAm ayAcat
sp021-000108_04	saNkalpamAtreRa kim
sp021-000109_04	kArtikeya SarmA
sp021-000110_04	kiYcana gurukulam
sp021-000111_04	AcAryasya bahavaH SizyAH
sp021-000112_04	sarve SradDayA vidyAByAsam kurvanti
sp021-000113_04	kintu paYcazezu CAtrezu pragatiH kzIRA AsIt
sp021-000114_04	tattaddinasya pAWam tattaddine eva na paWanti sma te
sp021-000115_04	bahuDA smAritam cedapi tezAm vyavahAre parivartanam na dfzwam
sp021-000116_04	taTApi guruH tAn na atarjayat
sp021-000117_04	sarvEH saha iva tEH saha api mfdutayA eva vyavahftavAn saH
sp021-000118_04	kadAcit tEH paYcazEH saha nadItIre saYcaran guruH ekam praSnam apfcCat
sp021-000119_04	ayi SizyAH aham ekam praSnam pfcCAmi
sp021-000120_04	vicintya uttaram vaktavyam BavadBiH
sp021-000121_04	kasyacit kAsArasya tIre trayaH maRqUkAH upavizwAH Asan
sp021-000122_04	tezu kaScana saNkalpam kftavAn yat mayA jalam prati kUrdanam karaRIyam iti
sp021-000123_04	evam tarhi tIre kati maRqUkAH SizwAH syuH
sp021-000124_04	sarve SizyAH kzaRam yAvat cintane magnAH
sp021-000125_04	tataH kaScana avadat tIre dvO maRqUkO Sizyete
sp021-000126_04	guruH avadat ayuktam uttaram etat
sp021-000127_04	mama praSnasya ASayam punarapi paryAlocya uttaram ucyatAm
sp021-000128_04	kzaRAnantaram aparaH SizyaH avadat avagatam mayA
sp021-000129_04	ekaH yadi saNkalpam kuryAt tarhi anyO api tam anusarataH
sp021-000130_04	ataH tIre ekaH api maRqUkaH na Sizyeta
sp021-000131_04	etat SrutvA api guruH nirAkaraRapUrvakam SiraH cAlitavAn
sp021-000132_04	ekaH maRqUkaH Sizyate iti vaktavyam Bavet
sp021-000133_04	ekaH saNkalpam kftavantam anusftavAn syAt
sp021-000134_04	aparaH tatrEva sTitaH syAt
sp021-000135_04	kintu evam kaTanam yuktiyuktam tu na
sp021-000136_04	vastutaH tatra tizWanti trayaH maRqUkAH guruH hasan avadat
sp021-000137_04	tadA SizyAH sAScaryam pfzwavantaH kaTam tat
