sp015-000001_001	upAyena Sakyam sarvam
sp015-000002_001	kasmiMScit araRye BAsurakaH nAma siMhaH vasati sma
sp015-000003_001	saH atIva SaktiSAlI
sp015-000004_001	BAsurakaH pratidinam anekAn mfgAn vinA kAraRam mArayati sma
sp015-000005_001	etena vanasya anye mfgAH kazwam anuBavanti sma
sp015-000006_001	ataH ekadA te mfgAH samBUya gatvA BAsurakam prArTitavantaH
sp015-000007_001	svAmin vinA kAraRam evam mfgARAm mAraRena BavataH kaH lABaH
sp015-000008_001	ekasya eva mfgasya KAdanena BavataH udaram pUrRam Bavati kila
sp015-000009_001	ataH adya AraBya BavataH AhArArTam pratidinam ekam mfgam vayameva prezayizyAmaH
sp015-000010_001	BavAn tam mfgam KAdatu
sp015-000011_001	anyAn mfgAn na pIqayatu iti
sp015-000012_001	tadA BAsurakaH uktavAn taTEva astu
sp015-000013_001	parantu yasmin dine mama samIpam mfgaH na Agamizyati
sp015-000014_001	tasmin dine sarvAn api mfgAn mArayizyAmi eva iti
sp015-000015_001	mfgAH tat aNgIkftavantaH
sp015-000016_001	tataH AraBya pratidinam jAtikrameRa ekaH mfgaH BAsurakasya AhAratvena gacCati sma
sp015-000017_001	BAsurakaH tam KAdati sma
sp015-000018_001	anye mfgAH nirBayam araRye saYcaranti sma
sp015-000019_001	kadAcit jAtikrameRa kenacit SaSakena BAsurakasya AhArarUpeRa gantavyam Apatitam
sp015-000020_001	saH SaSakaH duHKena siMhasamIpam prasTitavAn
sp015-000021_001	mArge ekaH kUpaH AsIt
sp015-000022_001	kUpasya upari gamanasamaye SaSakaH svasya pratibimbam tatra dfzwavAn
sp015-000023_001	tadA tasya manasi ekaH upAyaH sPuritaH
sp015-000024_001	aham BAsurakam etasmin kUpe pAtayAmi
sp015-000025_001	iti cintayan saH vilambena BAsurakasya samIpam gatavAn
sp015-000026_001	adya mfgaH samaye na AgataH iti BAsurakaH atIva kupitaH AsIt
sp015-000027_001	tadA SaSakaH mandam mandam gatvA praRamya tasya purataH sTitavAn
sp015-000028_001	tam tarjayan BAsurakaH uktavAn
sp015-000029_001	re SaSakADama samaye Agantavyam iti parijYAnam nAsti vA BavataH
sp015-000030_001	BavAn vilambam kftavAn kila
